Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.7672%,12813,5491114,5503927,3941541,5509,7304,1549573
0x402828,96.4845%,2048,56208,58256,27528,1115,933,28680
0x445d65,92.8044%,1705,21990,23695,18178,754,951,3812
0x444b75,74.1883%,1590,4570,6160,486,794,796,4084
0x445d6f,74.8058%,1200,3563,4763,2112,489,711,1451
0x45fd61,80.238%,681,2765,3446,2674,202,479,91
0x44b95b,90.9474%,558,5606,6164,5531,154,404,75
0x445e7b,98.4343%,371,23324,23695,17414,124,247,5910
0x40583b,99.8433%,361,230039,230400,230039,1,360,0
0x426ca7,48.9831%,301,289,590,175,136,165,114
0x426c80,49.1525%,300,290,590,169,151,149,121
0x426cce,53.7288%,273,317,590,204,120,153,113
0x426c57,56.7797%,255,335,590,269,109,146,66
0x444b1d,96.0877%,241,5919,6160,4820,123,118,1099
0x433027,86.2587%,238,1494,1732,1467,64,174,27
0x446639,96.6625%,213,6169,6382,6138,60,153,31
0x444b92,85.7031%,183,1097,1280,126,95,88,971
0x44508f,96.6592%,163,4716,4879,242,113,50,4474
0x446186,97.6767%,144,6054,6198,5053,61,83,1001
0x44ac5d,97.9671%,126,6072,6198,6068,19,107,4
0x402ac0,99.9609%,93,237861,237954,208301,40,53,29560
0x40d805,99.9834%,87,524449,524536,458928,41,46,65521
0x43ee15,98.4218%,77,4802,4879,4802,17,60,0
0x4482a9,98.9029%,68,6130,6198,23,48,20,6107
0x46e32e,96.1339%,67,1666,1733,847,33,34,819
0x4442bf,98.6885%,64,4816,4880,0,61,3,4816
0x43de79,98.75%,45,3555,3600,3555,0,45,0
0x44e6e6,98.75%,45,3555,3600,3555,0,45,0
0x4482ae,99.2982%,43,6084,6127,113,34,9,5971
0x402a92,99.9955%,43,965501,965544,727822,24,19,237679
0x45fbaa,99.5662%,30,6885,6915,6885,1,29,0
0x444970,99.5292%,29,6131,6160,57,20,9,6074
0x40fd91,99.9957%,28,657656,657684,493252,11,17,164404
0x4449b0,99.6115%,23,5897,5920,53,21,2,5844
0x413bf3,98.7298%,22,1710,1732,0,22,0,1710
0x45fbfc,99.6818%,22,6892,6914,6892,0,22,0
0x4540cd,98.7305%,22,1711,1733,1711,0,22,0
0x45faf4,99.6966%,21,6900,6921,6900,0,21,0
0x460bec,98.7882%,21,1712,1733,1712,0,21,0
0x4340a0,47.3684%,20,18,38,18,1,19,0
0x444991,99.6916%,19,6141,6160,233,7,12,5908
0x43a53a,75%,19,57,76,33,5,14,24
0x45d2a8,52.6316%,18,20,38,6,12,6,14
0x41e591,99.1062%,17,1885,1902,1860,6,11,25
0x41e5cf,99.1588%,16,1886,1902,1875,3,13,11
0x45ed2a,95.0658%,15,289,304,289,0,15,0
0x45ff50,99.5633%,15,3420,3435,1706,15,0,1714
0x45fb49,99.7832%,15,6903,6918,6903,0,15,0
0x4bdb49,51.7241%,14,15,29,4,6,8,11
0x4f34f5,43.4783%,13,10,23,8,4,9,2
0x4bdb59,55.1724%,13,16,29,11,5,8,5
0x444b83,99.7336%,13,4867,4880,3597,3,10,1270
0x4443f7,99.7541%,12,4868,4880,4751,7,5,117
0x43ee92,83.8235%,11,57,68,33,4,7,24
0x45fdaf,98.0702%,11,559,570,0,11,0,559
0x45edad,96.3816%,11,293,304,223,5,6,70
0x4bdb6c,65.5172%,10,19,29,12,5,5,7
0x45d341,55%,9,11,20,3,7,2,8
0x45efeb,89.4737%,8,68,76,57,0,8,11
0x42aaf4,99.5384%,8,1725,1733,0,7,1,1725
0x463745,94.4444%,8,136,144,135,0,8,1
0x411724,99.9931%,8,115192,115200,108000,0,8,7192
0x45effd,57.8947%,8,11,19,11,2,6,0
0x444514,99.8361%,8,4872,4880,3598,2,6,1274
0x4c9980,99.833%,7,4185,4192,4185,4,3,0
0x4c9717,99.6194%,7,1832,1839,741,4,3,1091
0x445f99,97.9532%,7,335,342,335,1,6,0
0x45d437,81.5789%,7,31,38,14,5,2,17
0x43eb32,89.8551%,7,62,69,0,2,5,62
0x46f6c9,56.25%,7,9,16,9,6,1,0
0x463798,22.2222%,7,2,9,1,5,2,1
0x4442e5,99.8718%,6,4674,4680,155,1,5,4519
0x44485c,99.5312%,6,1274,1280,931,0,6,343
0x40283b,99.9797%,6,29607,29613,0,0,6,29607
0x4a06e8,45.4545%,6,5,11,3,4,2,2
0x4c9772,99.9433%,6,10582,10588,9490,4,2,1092
0x4c9657,99.9155%,6,7095,7101,1833,6,0,5262
0x404008,99.9862%,6,43354,43360,37939,1,5,5415
0x440bf8,85.3659%,6,35,41,34,6,0,1
0x40a62b,99.9872%,5,39035,39040,34156,4,1,4879
0x4028ea,99.9979%,5,237949,237954,237693,5,0,256
0x4a1618,61.5385%,5,8,13,0,1,4,8
0x460e1e,61.5385%,5,8,13,0,4,1,8
0x49c446,71.4286%,4,10,14,0,2,2,10
0x439d28,78.9474%,4,15,19,15,0,4,0
0x4ac776,86.2069%,4,25,29,0,1,3,25
0x4013a3,97.7778%,4,176,180,176,1,3,0
0x46f666,75%,4,12,16,12,3,1,0
0x4450f7,99.918%,4,4875,4879,3600,0,4,1275
0x426d24,73.3333%,4,11,15,11,0,4,0
0x419c89,98.8889%,4,356,360,356,0,4,0
0x45f968,78.9474%,4,15,19,13,2,2,2
0x4bdafe,95.8333%,4,92,96,92,1,3,0
0x44605b,89.4737%,4,34,38,34,1,3,0
0x440bd7,90.2439%,4,37,41,37,0,4,0
0x460206,93.75%,4,60,64,60,3,1,0
0x4bdb96,86.2069%,4,25,29,25,4,0,0
0x41e86a,99.7692%,4,1729,1733,1729,0,4,0
0x43f4b8,77.7778%,4,14,18,1,2,2,13
0x4442c3,99.917%,4,4815,4819,76,3,1,4739
0x463428,76.9231%,3,10,13,1,3,0,9
0x434269,84.2105%,3,16,19,14,1,2,2
0x445c2c,99.9513%,3,6157,6160,0,3,0,6157
0x47cbac,0%,3,0,3,0,0,3,0
0x444e53,99.9385%,3,4877,4880,4877,3,0,0
0x46f5e2,25%,3,1,4,1,2,1,0
0x4451ae,99.9385%,3,4876,4879,353,2,1,4523
0x4442d3,99.9367%,3,4737,4740,58,2,1,4679
0x4a23f1,40%,3,2,5,2,2,1,0
0x460046,81.25%,3,13,16,13,2,1,0
0x49fa32,72.7273%,3,8,11,0,2,1,8
0x45fb19,85.7143%,3,18,21,0,3,0,18
0x4a1631,76.9231%,3,10,13,10,2,1,0
0x46e34f,99.8269%,3,1730,1733,1717,3,0,13
0x4a0f8f,40%,3,2,5,2,3,0,0
0x49c567,72.7273%,3,8,11,1,1,2,7
0x4ac4ae,25%,3,1,4,1,2,1,0
0x4449d7,99.9493%,3,5917,5920,72,2,1,5845
0x43ee2a,95%,3,57,60,57,2,1,0
0x43f06c,92.6829%,3,38,41,38,2,1,0
0x45f9a2,80%,3,12,15,9,0,3,3
0x4c97ba,99.5973%,3,742,745,1,2,1,741
0x444bb7,98.9831%,3,292,295,292,3,0,0
0x44a97c,99.9516%,3,6195,6198,6157,3,0,38
0x461ceb,62.5%,3,5,8,2,2,1,3
0x4409c4,0%,3,0,3,0,1,2,0
0x4452b8,25%,3,1,4,1,3,0,0
0x4a0fa3,40%,3,2,5,0,0,3,2
0x46f467,66.6667%,3,6,9,6,2,1,0
0x43f3f3,72.7273%,3,8,11,8,1,2,0
0x4f09b4,40%,3,2,5,2,3,0,0
0x43840f,82.3529%,3,14,17,14,1,2,0
0x4bdbf7,0%,2,0,2,0,1,1,0
0x44aff2,99.9676%,2,6162,6164,4,0,2,6158
0x4bdb7d,93.1034%,2,27,29,26,2,0,1
0x45fb71,86.6667%,2,13,15,12,0,2,1
0x434369,50%,2,2,4,0,1,1,2
0x45fdba,99.6422%,2,557,559,557,0,2,0
0x4152f6,99.8846%,2,1731,1733,9,0,2,1722
0x49be43,33.3333%,2,1,3,1,2,0,0
0x49bcdc,33.3333%,2,1,3,0,0,2,1
0x49bcef,33.3333%,2,1,3,0,0,2,1
0x49c5f0,77.7778%,2,7,9,7,2,0,0
0x49be9c,33.3333%,2,1,3,1,2,0,0
0x45510a,0%,2,0,2,0,1,1,0
0x41560a,99.8846%,2,1731,1733,2,2,0,1729
0x4a1f05,33.3333%,2,1,3,1,1,1,0
0x47cbdc,33.3333%,2,1,3,0,0,2,1
0x47cccf,33.3333%,2,1,3,1,2,0,0
0x4482b3,99.9666%,2,5978,5980,5943,2,0,35
0x49c47e,81.8182%,2,9,11,9,2,0,0
0x4bdb44,93.3333%,2,28,30,0,2,0,28
0x43f4fe,86.6667%,2,13,15,7,2,0,6
0x4bdbc5,0%,2,0,2,0,2,0,0
0x44b48f,99.9675%,2,6158,6160,6158,2,0,0
0x4bdf6d,99.9%,2,1998,2000,1998,1,1,0
0x46336c,84.6154%,2,11,13,2,2,0,9
0x460e0e,84.6154%,2,11,13,0,2,0,11
0x438406,89.4737%,2,17,19,0,2,0,17
0x4c97e9,33.3333%,2,1,3,0,0,2,1
0x43eb3c,97.0149%,2,65,67,65,2,0,0
0x46334e,84.6154%,2,11,13,11,0,2,0
0x45fe5b,0%,2,0,2,0,2,0,0
0x44a96e,99.9678%,2,6200,6202,4,0,2,6196
0x49c7e0,0%,2,0,2,0,1,1,0
0x4bde60,99.9512%,2,4094,4096,4094,1,1,0
0x43f33b,84.6154%,2,11,13,11,1,1,0
0x46349a,77.7778%,2,7,9,7,0,2,0
0x4a71b4,33.3333%,2,1,3,0,0,2,1
0x4a1f31,0%,2,0,2,0,2,0,0
0x4278d0,0%,2,0,2,0,2,0,0
0x47c829,33.3333%,2,1,3,1,2,0,0
0x46f417,80%,2,8,10,8,1,1,0
0x4449ed,99.9662%,2,5918,5920,5918,2,0,0
0x44094e,0%,2,0,2,0,2,0,0
0x44b48a,99.9676%,2,6162,6164,4,0,2,6158
0x44b6e0,99.9676%,2,6162,6164,4,0,2,6158
0x4f096b,60%,2,3,5,0,0,2,3
0x44b24c,99.9676%,2,6162,6164,0,0,2,6162
0x445bfb,99.9677%,2,6196,6198,38,0,2,6158
0x4a0fb0,60%,2,3,5,3,2,0,0
0x4f0bd6,0%,2,0,2,0,0,2,0
0x4634d7,77.7778%,2,7,9,6,1,1,1
0x49bf00,0%,2,0,2,0,0,2,0
0x444b9c,99.8111%,2,1057,1059,985,0,2,72
0x4a7193,33.3333%,2,1,3,0,0,2,1
0x43eeaa,93.5484%,2,29,31,0,0,2,29
0x43ec96,0%,2,0,2,0,0,2,0
0x49c5e7,81.8182%,2,9,11,1,1,1,8
0x4ac7d4,92.8571%,2,26,28,0,0,2,26
0x4015fc,98.8889%,2,178,180,178,1,1,0
0x402a52,99.9992%,2,237696,237698,0,0,2,237696
0x4a1032,60%,2,3,5,0,0,2,3
0x49fa0a,81.8182%,2,9,11,9,2,0,0
0x41a2d4,50%,2,2,4,2,1,1,0
0x40585a,99.4444%,2,358,360,358,1,1,0
0x4c965c,99.9625%,2,5337,5339,141,1,1,5196
0x43eeaf,93.5484%,2,29,31,0,0,2,29
0x4a716a,33.3333%,2,1,3,0,0,2,1
0x43f05c,95.122%,2,39,41,0,0,2,39
0x43ec0b,0%,2,0,2,0,2,0,0
0x4a1267,0%,1,0,1,0,1,0,0
0x43f1a6,0%,1,0,1,0,0,1,0
0x4278b5,50%,1,1,2,1,0,1,0
0x4013af,66.6667%,1,2,3,2,1,0,0
0x4a1f0e,0%,1,0,1,0,1,0,0
0x469716,0%,1,0,1,0,0,1,0
0x455330,0%,1,0,1,0,0,1,0
0x4a58dd,66.6667%,1,2,3,1,1,0,1
0x469bef,0%,1,0,1,0,0,1,0
0x4a1636,0%,1,0,1,0,1,0,0
0x416810,0%,1,0,1,0,1,0,0
0x4bdcc9,0%,1,0,1,0,0,1,0
0x4a08a4,0%,1,0,1,0,1,0,0
0x469d9d,0%,1,0,1,0,1,0,0
0x4a1af2,0%,1,0,1,0,0,1,0
0x404c03,99.9915%,1,11809,11810,0,0,1,11809
0x44b300,99.9838%,1,6163,6164,6163,1,0,0
0x4a2413,0%,1,0,1,0,0,1,0
0x4a1577,0%,1,0,1,0,1,0,0
0x47b250,0%,1,0,1,0,0,1,0
0x43de8a,97.7778%,1,44,45,44,0,1,0
0x43df39,0%,1,0,1,0,1,0,0
0x41685b,0%,1,0,1,0,1,0,0
0x4a74c1,0%,1,0,1,0,1,0,0
0x4f0ab1,0%,1,0,1,0,1,0,0
0x469c8d,0%,1,0,1,0,1,0,0
0x469c78,0%,1,0,1,0,1,0,0
0x4ba80b,0%,1,0,1,0,0,1,0
0x469c3b,0%,1,0,1,0,0,1,0
0x4168a2,0%,1,0,1,0,1,0,0
0x416875,0%,1,0,1,0,0,1,0
0x43ec1a,50%,1,1,2,0,1,0,1
0x4a1fc3,0%,1,0,1,0,1,0,0
0x43f285,0%,1,0,1,0,0,1,0
0x49bed6,66.6667%,1,2,3,0,1,0,2
0x47cd58,50%,1,1,2,0,0,1,1
0x4a1e17,0%,1,0,1,0,0,1,0
0x45fc21,95.4545%,1,21,22,0,1,0,21
0x402a96,99.9996%,1,237697,237698,237697,1,0,0
0x47af0e,0%,1,0,1,0,0,1,0
0x47af53,0%,1,0,1,0,1,0,0
0x4ae54a,0%,1,0,1,0,1,0,0
0x4a02f4,0%,1,0,1,0,0,1,0
0x4a231d,0%,1,0,1,0,1,0,0
0x473fe9,0%,1,0,1,0,0,1,0
0x41a6cb,0%,1,0,1,0,0,1,0
0x49c7fd,50%,1,1,2,0,0,1,1
0x47b2d1,0%,1,0,1,0,0,1,0
0x471dbf,95.4545%,1,21,22,0,1,0,21
0x49c787,50%,1,1,2,1,1,0,0
0x49c3c2,92.8571%,1,13,14,0,0,1,13
0x4ac7a9,96.4286%,1,27,28,0,0,1,27
0x469c0b,0%,1,0,1,0,0,1,0
0x44affd,99.9838%,1,6159,6160,6159,1,0,0
0x4a2029,0%,1,0,1,0,0,1,0
0x41a6a0,0%,1,0,1,0,0,1,0
0x4a202f,0%,1,0,1,0,1,0,0
0x469b9b,0%,1,0,1,0,1,0,0
0x4bdea7,0%,1,0,1,0,0,1,0
0x4a1e5c,50%,1,1,2,1,0,1,0
0x4a1e88,0%,1,0,1,0,0,1,0
0x416771,0%,1,0,1,0,1,0,0
0x47b2ef,0%,1,0,1,0,0,1,0
0x4409a5,50%,1,1,2,0,0,1,1
0x47b06e,0%,1,0,1,0,1,0,0
0x4016e3,80%,1,4,5,0,0,1,4
0x4a031d,0%,1,0,1,0,0,1,0
0x49f9fd,90.9091%,1,10,11,10,1,0,0
0x4a1dfe,0%,1,0,1,0,1,0,0
0x401459,0%,1,0,1,0,1,0,0
0x45dc08,90%,1,9,10,0,1,0,9
0x455165,0%,1,0,1,0,1,0,0
0x4442f8,99.7191%,1,355,356,0,0,1,355
0x4a2819,0%,1,0,1,0,0,1,0
0x4f0be9,50%,1,1,2,1,1,0,0
0x41e67e,90%,1,9,10,9,0,1,0
0x43f02a,0%,1,0,1,0,0,1,0
0x4a7226,66.6667%,1,2,3,2,1,0,0
0x4c96aa,99.9813%,1,5338,5339,3464,1,0,1874
0x43c80a,75%,1,3,4,2,0,1,1
0x42454a,0%,1,0,1,0,0,1,0
0x4a1d43,0%,1,0,1,0,1,0,0
0x4482ca,99.6047%,1,252,253,0,0,1,252
0x46f857,0%,1,0,1,0,1,0,0
0x4a1c0c,0%,1,0,1,0,0,1,0
0x4a03a3,0%,1,0,1,0,0,1,0
0x440c53,0%,1,0,1,0,0,1,0
0x440abf,0%,1,0,1,0,1,0,0
0x403f48,99.9815%,1,5419,5420,0,0,1,5419
0x440ab2,0%,1,0,1,0,0,1,0
0x4409fc,0%,1,0,1,0,0,1,0
0x43f52f,91.6667%,1,11,12,11,1,0,0
0x4f1041,80%,1,4,5,0,0,1,4
0x4245a3,99.2248%,1,128,129,128,1,0,0
0x471fdc,95.4545%,1,21,22,21,0,1,0
0x4a241c,0%,1,0,1,0,1,0,0
0x4a06df,90.9091%,1,10,11,0,0,1,10
0x4f103f,80%,1,4,5,0,0,1,4
0x45ff10,50%,1,1,2,1,1,0,0
0x440a42,50%,1,1,2,1,0,1,0
0x469cef,0%,1,0,1,0,0,1,0
0x4a1022,80%,1,4,5,0,0,1,4
0x4452fe,75%,1,3,4,3,1,0,0
0x46f353,0%,1,0,1,0,1,0,0
0x444f0b,99.9795%,1,4879,4880,0,0,1,4879
0x40d054,99.867%,1,751,752,704,1,0,47
0x49c49f,90.9091%,1,10,11,10,1,0,0
0x43f211,0%,1,0,1,0,0,1,0
0x45fbcf,96.5517%,1,28,29,0,1,0,28
0x4278fd,50%,1,1,2,0,1,0,1
0x44af3d,99.9839%,1,6201,6202,38,0,1,6163
0x44afde,99.9838%,1,6163,6164,0,0,1,6163
0x4a1b76,0%,1,0,1,0,0,1,0
0x49c783,50%,1,1,2,0,0,1,1
0x46ed3d,0%,1,0,1,0,0,1,0
0x49c5a0,90.9091%,1,10,11,10,1,0,0
0x40bab7,99.9795%,1,4879,4880,0,0,1,4879
0x4a74fe,0%,1,0,1,0,1,0,0
0x4f05d5,0%,1,0,1,0,0,1,0
0x44e594,99.9722%,1,3599,3600,3599,1,0,0
0x445162,99.9795%,1,4878,4879,0,0,1,4878
0x40171a,80%,1,4,5,4,0,1,0
0x46fd45,0%,1,0,1,0,1,0,0
0x4a1603,0%,1,0,1,0,1,0,0
0x4a1d98,0%,1,0,1,0,0,1,0
0x4a748a,0%,1,0,1,0,0,1,0
0x44492c,99.9838%,1,6159,6160,0,0,1,6159
0x4a1eb8,0%,1,0,1,0,0,1,0
0x4ae41c,0%,1,0,1,0,0,1,0
0x444d81,99.9795%,1,4879,4880,0,0,1,4879
0x402acb,99.9966%,1,29612,29613,29612,1,0,0
0x445122,99.9722%,1,3599,3600,246,0,1,3353
0x472006,95.4545%,1,21,22,0,0,1,21
0x43e024,0%,1,0,1,0,1,0,0
0x46ed54,0%,1,0,1,0,1,0,0
0x472137,95.4545%,1,21,22,21,1,0,0
0x4a2880,0%,1,0,1,0,1,0,0
0x4556c2,0%,1,0,1,0,0,1,0
0x46e954,99.9423%,1,1732,1733,1732,0,1,0
0x49c82a,50%,1,1,2,1,1,0,0
0x49bd41,66.6667%,1,2,3,0,0,1,2
0x4f098a,80%,1,4,5,0,0,1,4
0x4724fb,0%,1,0,1,0,1,0,0
0x4551cb,0%,1,0,1,0,1,0,0
0x45fc3a,99.9855%,1,6912,6913,5188,0,1,1724
0x43ebbb,50%,1,1,2,0,1,0,1
0x47c818,66.6667%,1,2,3,0,0,1,2
0x49bcc5,66.6667%,1,2,3,2,1,0,0
