Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.832%,17066,10143986,10161052,6934354,4787,12279,3209632
0x91614b,96.1556%,4378,109502,113880,51656,2579,1799,57846
0x46f721,98.6268%,1624,116636,118260,116636,4,1620,0
0x91634b,98.6249%,1566,112314,113880,112310,10,1556,4
0x162634e,99.1324%,1026,117234,118260,29265,600,426,87969
0x1626359,99.4875%,453,87942,88395,43286,205,248,44656
0x4f9b7c,96.142%,250,6230,6480,6230,10,240,0
0x1626664,99.7954%,242,118018,118260,47350,123,119,70668
0x50832e,96.2963%,240,6240,6480,6240,0,240,0
0x4f9894,95.8333%,240,5520,5760,5520,0,240,0
0xf2fd89,96.2963%,240,6240,6480,6240,0,240,0
0x50898b,96.2963%,240,6240,6480,6240,0,240,0
0xf2f79c,96.2939%,232,6028,6260,6028,0,232,0
0x507935,96.2963%,232,6032,6264,6032,0,232,0
0x507487,96.2963%,220,5720,5940,5720,0,220,0
0x8defc2,97.6408%,186,7698,7884,1618,74,112,6080
0x91585d,96.2963%,174,4524,4698,4524,0,174,0
0xf2f571,96.2963%,174,4524,4698,4524,0,174,0
0x916155,99.9078%,105,113775,113880,113668,25,80,107
0x8df004,98.8077%,94,7790,7884,7774,2,92,16
0x8ded3c,98.8584%,90,7794,7884,3959,81,9,3835
0x8df4d0,98.6909%,82,6182,6264,1646,26,56,4536
0x5123f4,96.2456%,74,1897,1971,464,35,39,1433
0x8df243,98.9304%,67,6197,6264,5730,30,37,467
0x93695b,96.0534%,65,1582,1647,1582,4,61,0
0x51c87b,96.0494%,64,1556,1620,1556,4,60,0
0x9160af,99.9438%,64,113816,113880,113807,12,52,9
0x93013b,96.1111%,63,1557,1620,1557,3,60,0
0x92d0fa,96.1111%,63,1557,1620,1557,3,60,0
0x91636a,95.9615%,63,1497,1560,1497,3,60,0
0x916ff3,95.9615%,63,1497,1560,1497,3,60,0
0x92e31e,96.1728%,62,1558,1620,1558,2,60,0
0x9308f8,96.1728%,62,1558,1620,1558,2,60,0
0x93312f,96.1728%,62,1558,1620,1558,2,60,0
0x91b4e5,96.1728%,62,1558,1620,1558,2,60,0
0x936bfd,96.3095%,62,1618,1680,1618,2,60,0
0x930f53,96.2356%,62,1585,1647,1585,1,61,0
0x91abf9,96.1728%,62,1558,1620,1558,2,60,0
0x91a5a6,96.0897%,61,1499,1560,1499,1,60,0
0x91bbc9,96.2346%,61,1559,1620,1559,1,60,0
0x93669c,96.2346%,61,1559,1620,1559,1,60,0
0x91b6e8,96.0897%,61,1499,1560,1499,1,60,0
0x4f7b3c,96.2346%,61,1559,1620,1559,1,60,0
0x93324b,96.0897%,61,1499,1560,1499,1,60,0
0x4deab3,95.9333%,61,1439,1500,1439,1,60,0
0x51c573,95.7639%,61,1379,1440,1379,1,60,0
0x931570,96.0897%,61,1499,1560,1499,1,60,0
0x4ded1c,96.0897%,61,1499,1560,1499,1,60,0
0x512986,96.1707%,61,1532,1593,1532,2,59,0
0x4f6d45,96.0897%,61,1499,1560,1499,1,60,0
0x52ad0e,96.2346%,61,1559,1620,1559,1,60,0
0x52a6c5,96.2346%,61,1559,1620,1559,1,60,0
0x9289d7,96.0897%,61,1499,1560,1499,1,60,0
0x529dd7,96.1047%,61,1505,1566,1505,3,58,0
0x92faef,96.2346%,61,1559,1620,1559,1,60,0
0x50b47c,96.2335%,60,1533,1593,1533,1,59,0
0x9192f1,96.2335%,60,1533,1593,1533,1,59,0
0x918ac4,96.0887%,60,1474,1534,1474,1,59,0
0x51889d,96.2335%,60,1533,1593,1533,1,59,0
0x518f28,96.2335%,60,1533,1593,1533,1,59,0
0x50b113,95.7627%,60,1356,1416,1356,1,59,0
0x8df500,99.0581%,59,6205,6264,6152,4,55,53
0x4ed45c,96.2324%,59,1507,1566,1507,1,58,0
0x528f77,96.1616%,57,1428,1485,1428,2,55,0
0x51208f,96.2302%,57,1455,1512,1455,1,56,0
0x4ebabb,96.0839%,56,1374,1430,1374,1,55,0
0x9238da,96.0114%,56,1348,1404,1348,2,54,0
0x52a9d4,97.0988%,47,1573,1620,418,22,25,1155
0x90b823,96.2232%,44,1121,1165,1121,1,43,0
0x15d8015,91.9321%,38,433,471,251,15,23,182
0x8df270,99.4413%,35,6229,6264,6154,2,33,75
0x512186,98.3765%,32,1939,1971,1939,5,27,0
0x512153,98.4272%,31,1940,1971,996,29,2,944
0x512426,98.5287%,29,1942,1971,1942,2,27,0
0x8ded74,99.6575%,27,7857,7884,7773,3,24,84
0x90b617,99.876%,26,20948,20974,19805,4,22,1143
0x901cd8,99.9199%,26,32426,32452,31293,0,26,1133
0x8e7343,99.9349%,23,35323,35346,34047,5,18,1276
0x52a773,98.5802%,23,1597,1620,1513,11,12,84
0x8e8539,99.9394%,23,37918,37941,37419,3,20,499
0x8e88e9,99.9353%,22,33977,33999,33532,2,20,445
0x16744be,99.9861%,21,150785,150806,108416,9,12,42369
0x8e8544,96.3391%,19,500,519,500,0,19,0
0x8e7354,98.5317%,19,1275,1294,1275,0,19,0
0x901cf4,98.3607%,19,1140,1159,1140,0,19,0
0x8e7643,99.9432%,18,31656,31674,30514,2,16,1142
0x4ed390,99.9397%,17,28171,28188,26615,7,10,1556
0x52aa06,98.9506%,17,1603,1620,1557,3,14,46
0x8e88f4,96.3441%,17,448,465,448,0,17,0
0x8e7654,98.532%,17,1141,1158,1141,0,17,0
0x4eba95,99.9837%,17,104373,104390,102954,6,11,1419
0x528f3c,99.9841%,17,106903,106920,105429,6,11,1474
0x8e874f,99.5941%,16,3926,3942,3886,2,14,40
0x512060,99.9864%,15,110361,110376,108858,6,9,1503
0x4f6d2d,99.9859%,15,106065,106080,104515,5,10,1550
0x8e7503,99.5915%,15,3657,3672,3533,3,12,124
0x930d82,99.9899%,15,148215,148230,139989,6,9,8226
0x936627,99.952%,14,29146,29160,27535,5,9,1611
0x9368e8,99.9528%,14,29632,29646,27995,4,10,1637
0x93322b,99.9877%,14,113866,113880,112317,3,11,1549
0x92d06d,99.952%,14,29146,29160,27533,7,7,1613
0x50b0d5,99.9865%,14,103354,103368,101949,3,11,1405
0x92f830,99.952%,14,29146,29160,27532,8,6,1614
0x518877,99.988%,13,108311,108324,106726,5,8,1585
0x9387fe,98.7963%,13,1067,1080,1015,5,8,52
0x51c7c5,99.9554%,13,29147,29160,27535,5,8,1612
0x52ac52,99.9588%,12,29148,29160,27536,4,8,1612
0x52a6a4,99.9893%,12,111768,111780,110157,3,9,1611
0x91a4ff,99.9573%,12,28068,28080,26515,5,7,1553
0x916eca,99.9573%,12,28068,28080,26515,5,7,1553
0x5128b0,99.9616%,11,28663,28674,27079,2,9,1584
0x930798,99.8642%,11,8089,8100,6477,3,8,1612
0x918eed,99.9616%,11,28663,28674,27077,4,7,1586
0x930701,99.9925%,11,145789,145800,137697,3,8,8092
0x92a632,99.2949%,11,1549,1560,1495,5,6,54
0x51c537,99.9894%,11,103669,103680,102236,4,7,1433
0x9313b2,99.9922%,11,140389,140400,132596,4,7,7793
0x4dec87,99.9608%,11,28069,28080,26515,5,6,1554
0x506b43,95.1754%,11,217,228,2,6,5,215
0x5125ac,99.4926%,10,1961,1971,1942,2,8,19
0x518e6e,99.9631%,10,27071,27081,25486,2,8,1585
0x918a0a,99.9638%,10,27602,27612,26074,4,6,1528
0x930df7,99.8786%,10,8225,8235,6587,1,9,1638
0x92677e,97.8632%,10,458,468,437,5,5,21
0x5189a2,99.3723%,10,1583,1593,1529,5,5,54
0x932526,99.0893%,10,1088,1098,1032,5,5,56
0x91bb36,99.9657%,10,29150,29160,27538,2,8,1612
0x5297c0,99.4856%,10,1934,1944,1914,3,7,20
0x92e24e,99.9657%,10,29150,29160,27538,2,8,1612
0x9300c1,99.9314%,10,14570,14580,12956,4,6,1614
0x91a0f3,99.7685%,10,4310,4320,4257,3,7,53
0x91a8d3,99.9657%,10,29150,29160,27537,3,7,1613
0x932f8f,99.9657%,10,29150,29160,27537,3,7,1613
0x529d01,99.9681%,9,28179,28188,26620,2,7,1559
0x529610,99.537%,9,1935,1944,1915,2,7,20
0x51231a,99.5434%,9,1962,1971,1942,2,7,20
0x4ec004,99.5258%,9,1889,1898,1869,3,6,20
0x9257cd,98.0769%,9,459,468,438,4,5,21
0x52912c,98.1481%,9,477,486,454,5,4,23
0x927648,98.0769%,9,459,468,438,4,5,21
0x5293dd,98.1481%,9,477,486,456,3,6,21
0x518d47,99.435%,9,1584,1593,1530,4,5,54
0x93082e,99.9691%,9,29151,29160,27536,4,5,1615
0x916bec,99.1667%,9,1071,1080,1015,5,4,56
0x932c66,99.7973%,9,4431,4440,4378,2,7,53
0x52a7a6,99.4444%,9,1611,1620,1555,5,4,56
0x936b87,99.9702%,9,30231,30240,28558,2,7,1673
0x4debb5,99.8174%,8,4372,4380,4318,2,6,54
0x92359d,99.9683%,8,25264,25272,23866,2,6,1398
0x4eca62,99.5785%,8,1890,1898,1870,2,6,20
0x4ebd1e,98.2906%,8,460,468,440,2,6,20
0x91b623,99.9715%,8,28072,28080,26517,3,5,1555
0x8e64e0,57.8947%,8,11,19,9,4,4,2
0x9394a1,99.2467%,8,1054,1062,1001,2,6,53
0x923caf,99.177%,8,964,972,915,3,5,49
0x9185d0,99.8143%,8,4299,4307,4245,3,5,54
0x93219b,99.2593%,8,1072,1080,1016,4,4,56
0x92473b,98.2906%,8,460,468,439,3,5,21
0x90ce21,98.5185%,8,532,540,478,2,6,54
0x4f6ecf,99.8039%,8,4072,4080,4017,3,5,55
0x4f7a83,99.971%,8,27532,27540,25916,4,4,1616
0x50b388,99.9756%,7,28667,28674,27079,2,5,1588
0x4ec41b,98.5043%,7,461,468,440,2,5,21
0x1669e6a,86.2745%,7,44,51,6,5,2,38
0x931427,99.9103%,7,7793,7800,6239,1,6,1554
0x518bff,99.5606%,7,1586,1593,1532,2,5,54
0x51c6bd,99.838%,7,4313,4320,4258,2,5,55
0x4f7617,99.5513%,7,1553,1560,1497,3,4,56
0x50b26d,99.8375%,7,4300,4307,4246,2,5,54
0x4ecddd,99.8257%,7,4008,4015,3958,2,5,50
0x4dea73,99.9936%,7,109493,109500,107999,1,6,1494
0x9314b4,99.9751%,7,28073,28080,26518,2,5,1555
0x4f70e4,99.5513%,7,1553,1560,1498,2,5,55
0x91b3c4,99.976%,7,29153,29160,27539,1,6,1614
0x929fc2,99.5513%,7,1553,1560,1496,4,3,57
0x92f9fd,99.9588%,6,14574,14580,12958,2,4,1616
0x1669edb,81.25%,6,26,32,13,3,3,13
0x518ef0,99.8745%,6,4773,4779,3182,4,2,1591
0x518ad6,99.6234%,6,1587,1593,1532,2,4,55
0x4f72f9,99.6154%,6,1554,1560,1497,3,3,57
0x8e6475,68.4211%,6,13,19,0,2,4,13
0x4f7818,99.6154%,6,1554,1560,1498,2,4,56
0x4dedbb,99.4444%,6,1074,1080,1017,3,3,57
0x1669e15,92.6829%,6,76,82,24,5,1,52
0x52a8f3,99.6296%,6,1614,1620,1556,4,2,58
0x52ab76,99.6296%,6,1614,1620,1558,2,4,56
0x901b67,95.082%,6,116,122,116,4,2,0
0x9287d0,99.976%,6,24954,24960,23397,3,3,1557
0x928993,99.8718%,6,4674,4680,3115,5,1,1559
0x92a988,90%,6,54,60,54,5,1,0
0x930e8f,99.9831%,5,29641,29646,27997,2,3,1644
0x8df515,95.3704%,5,103,108,103,1,4,0
0x928d03,99.4792%,5,955,960,898,2,3,57
0x506dff,37.5%,5,3,8,3,1,4,0
0x1669c80,87.1795%,5,34,39,26,3,2,8
0x512766,91.6667%,5,55,60,54,5,0,1
0x8ded8a,95.3704%,5,103,108,103,1,4,0
0x1669d14,82.7586%,5,24,29,9,3,2,15
0x4f7b10,99.8971%,5,4855,4860,3238,2,3,1617
0x506dbe,95.3704%,5,103,108,103,1,4,0
0x1668901,86.8421%,5,33,38,8,4,1,25
0x166893c,79.1667%,5,19,24,15,0,5,4
0x8df285,95.3704%,5,103,108,103,1,4,0
0x8e63fd,73.6842%,5,14,19,13,4,1,1
0x50713f,96.2963%,4,104,108,104,0,4,0
0xdead4f,50%,4,4,8,0,4,0,4
0x507a36,98.3051%,4,232,236,232,0,4,0
0x5072d4,96.2963%,4,104,108,104,0,4,0
0x166a270,86.2069%,4,25,29,18,1,3,7
0x928ecf,97.7778%,4,176,180,118,2,2,58
0x4f88c6,98.6301%,4,288,292,288,0,4,0
0xf2f7ed,98.2759%,4,228,232,228,0,4,0
0x8df019,96.2963%,4,104,108,104,0,4,0
0x8ead84,98.8095%,4,332,336,332,0,4,0
0x1669e5d,92.4528%,4,49,53,0,2,2,49
0x506fce,96.2963%,4,104,108,104,0,4,0
0x8e9cf4,98.3402%,4,237,241,237,0,4,0
0x508a37,98.3333%,4,236,240,236,0,4,0
0xf2fe44,98.3333%,4,236,240,236,0,4,0
0x4f9bf2,98.3333%,4,236,240,236,0,4,0
0xdea638,50%,4,4,8,0,4,0,4
0x1669c05,89.7436%,4,35,39,35,4,0,0
0x9158bb,98.2759%,3,171,174,171,0,3,0
0xf2f345,98.3333%,3,177,180,177,0,3,0
0x4dd5f6,95.8904%,3,70,73,70,2,1,0
0x509ce6,95.8904%,3,70,73,70,2,1,0
0x4ec622,83.3333%,3,15,18,15,2,1,0
0xf2f31a,99.9383%,3,4857,4860,4680,0,3,177
0x939858,83.3333%,3,15,18,15,2,1,0
0x4ecbff,95.8904%,3,70,73,70,2,1,0
0x166a1f7,86.9565%,3,20,23,14,2,1,6
0x511eb6,95%,3,57,60,0,2,1,57
0xf2f5fc,98.2759%,3,171,174,171,0,3,0
0x51b486,95.8333%,3,69,72,69,2,1,0
0x8e9ee4,98.3425%,3,178,181,178,0,3,0
0x924de6,83.3333%,3,15,18,15,2,1,0
0x926d88,83.3333%,3,15,18,15,2,1,0
0x8e7514,97.7941%,3,133,136,133,1,2,0
0x939668,83.3333%,3,15,18,15,2,1,0
0x8e9e34,95%,3,57,60,57,2,1,0
0x150eb4f,25%,3,1,4,0,0,3,1
0x528d5e,94.9153%,3,56,59,1,1,2,55
0xf2fa62,99.9306%,3,4317,4320,4080,0,3,237
0x8eae95,96.4286%,3,81,84,81,2,1,0
0x4ed592,94.9153%,3,56,59,56,2,1,0
0x925e96,83.3333%,3,15,18,15,2,1,0
0x927c47,83.3333%,3,15,18,15,2,1,0
0x4ec132,83.3333%,3,15,18,15,2,1,0
0x92f71b,99.8148%,3,1617,1620,1617,3,0,0
0x9278a9,88.4615%,3,23,26,23,2,1,0
0x92d35f,83.3333%,3,15,18,15,2,1,0
0x8e875a,94.4444%,3,51,54,51,1,2,0
0x529eb1,94.9153%,3,56,59,56,2,1,0
0x924118,94.4444%,3,51,54,51,2,1,0
0x8eaf45,98.8095%,3,249,252,249,0,3,0
0x91bba3,99.8765%,2,1618,1620,0,0,2,1618
0x4f7bee,96.6667%,2,58,60,58,1,1,0
0x930fa0,96.7213%,2,59,61,59,1,1,0
0x5121a9,92.5926%,2,25,27,25,1,1,0
0x512a66,96.6667%,2,58,60,58,1,1,0
0x9269d8,92.3077%,2,24,26,24,1,1,0
0x92a317,96.6667%,2,58,60,58,1,1,0
0x9185dd,96.6102%,2,57,59,57,2,0,0
0x529280,0%,2,0,2,0,1,1,0
0x1668933,92.3077%,2,24,26,0,2,0,24
0x5297e7,92.5926%,2,25,27,25,1,1,0
0x528d6b,96.4912%,2,55,57,0,2,0,55
0x1516664,60%,2,3,5,3,1,1,0
0x4eb826,96.6102%,2,57,59,1,1,1,56
0x512449,92.5926%,2,25,27,25,1,1,0
0x4ec85a,97.2603%,2,71,73,71,1,1,0
0x90cebf,96.6667%,2,58,60,58,1,1,0
0x16688f5,95.2381%,2,40,42,2,2,0,38
0x915fab,99.8718%,2,1558,1560,1558,2,0,0
0x4ed218,96.6102%,2,57,59,0,1,1,57
0x90b2b7,95.4545%,2,42,44,42,2,0,0
0x4ebe25,33.3333%,2,1,3,0,2,0,1
0x9366de,96.6667%,2,58,60,58,1,1,0
0x938878,96.6667%,2,58,60,58,1,1,0
0x16262dc,99.9983%,2,118258,118260,0,0,2,118258
0x4dee8c,96.6667%,2,58,60,58,1,1,0
0x93262b,96.7213%,2,59,61,59,1,1,0
0x4ec1fd,0%,2,0,2,0,1,1,0
0x529637,92.5926%,2,25,27,25,1,1,0
0x4ebaff,50%,2,2,4,1,2,0,1
0x51c8e9,96.6667%,2,58,60,58,1,1,0
0x4eca80,92.3077%,2,24,26,24,1,1,0
0x4eb833,96.4912%,2,55,57,0,2,0,55
0x4ec50a,92.3077%,2,24,26,24,1,1,0
0x91939e,96.6102%,2,57,59,57,1,1,0
0x8e85a2,89.4737%,2,17,19,0,2,0,17
0x9315c3,96.6667%,2,58,60,58,1,1,0
0x8e648f,89.4737%,2,17,19,0,2,0,17
0x936c42,96.6667%,2,58,60,58,1,1,0
0x16265dd,99.9983%,2,118258,118260,118258,2,0,0
0x9391d3,96.6667%,2,58,60,58,1,1,0
0x936998,96.7213%,2,59,61,59,1,1,0
0x5121cd,33.3333%,2,1,3,0,2,0,1
0x919b00,96.6667%,2,58,60,58,2,0,0
0x512358,0%,2,0,2,0,1,1,0
0x8e73b0,89.4737%,2,17,19,0,2,0,17
0x91acd4,96.6667%,2,58,60,58,1,1,0
0x925a89,92.3077%,2,24,26,24,1,1,0
0x52adb1,96.6667%,2,58,60,58,1,1,0
0x92e36f,96.6667%,2,58,60,58,1,1,0
0x91b73b,96.6667%,2,58,60,58,1,1,0
0x92fb57,96.6667%,2,58,60,58,1,1,0
0x8e682f,89.4737%,2,17,19,17,2,0,0
0x5125d5,92.5926%,2,25,27,25,1,1,0
0x1669c9a,80%,2,8,10,0,2,0,8
0x92cfc8,99.8765%,2,1618,1620,1618,2,0,0
0x50b51a,96.6102%,2,57,59,57,1,1,0
0x166a0dd,92.3077%,2,24,26,21,2,0,3
0x928f3a,96.6667%,2,58,60,58,1,1,0
0x93015f,96.6667%,2,58,60,58,1,1,0
0x93333e,96.6667%,2,58,60,58,1,1,0
0x93226d,96.6667%,2,58,60,58,1,1,0
0x916170,99.9982%,2,113878,113880,113878,2,0,0
0x5294af,92.5926%,2,25,27,25,1,1,0
0x939547,96.6102%,2,57,59,57,1,1,0
0x9390f4,96.6667%,2,58,60,58,1,1,0
0x518733,96.6102%,2,57,59,0,0,2,57
0x8e9274,50%,2,2,4,0,1,1,2
0x92a65d,96.6667%,2,58,60,58,1,1,0
0x9249e9,92.3077%,2,24,26,24,1,1,0
0x518ba2,98.3051%,2,116,118,58,1,1,58
0x1669e47,96.2264%,2,51,53,51,0,2,0
0x930943,96.6667%,2,58,60,58,1,1,0
0x92e16a,99.8765%,2,1618,1620,1618,2,0,0
0x91b548,99.8718%,2,1558,1560,1558,2,0,0
0x529257,33.3333%,2,1,3,0,2,0,1
0x529bc7,96.6102%,2,57,59,0,1,1,57
0x529209,92.5926%,2,25,27,25,1,1,0
0x518fb3,96.6102%,2,57,59,57,1,1,0
0x511ec3,96.5517%,2,56,58,0,2,0,56
0x91705c,96.6667%,2,58,60,58,1,1,0
0x92d126,96.6667%,2,58,60,58,1,1,0
0x4ec01d,92.3077%,2,24,26,24,1,1,0
0x512341,92.5926%,2,25,27,25,1,1,0
0x918a3d,99.8696%,2,1532,1534,0,0,2,1532
0x929fed,96.6667%,2,58,60,58,1,1,0
0x4ebdf2,92.3077%,2,24,26,24,1,1,0
0x151668f,0%,1,0,1,0,1,0,0
0x1669e29,98.1132%,1,52,53,0,0,1,52
0x1516b6e,0%,1,0,1,0,1,0,0
0x4ec02e,0%,1,0,1,0,1,0,0
0x93051c,98.3333%,1,59,60,0,0,1,59
0x92afb8,0%,1,0,1,0,1,0,0
0x9309ad,0%,1,0,1,0,0,1,0
0x8df53b,75%,1,3,4,0,0,1,3
0x939116,0%,1,0,1,0,1,0,0
0x166ac44,90%,1,9,10,0,1,0,9
0x4db830,0%,1,0,1,0,1,0,0
0x918f25,99.9372%,1,1592,1593,1592,1,0,0
0x518c4f,99.1525%,1,117,118,58,1,0,59
0x15138c1,0%,1,0,1,0,1,0,0
0x512148,99.9493%,1,1970,1971,0,0,1,1970
0x14f9f7e,0%,1,0,1,0,1,0,0
0x1513a13,0%,1,0,1,0,1,0,0
0x162625a,99.9992%,1,118259,118260,118259,1,0,0
0x4f7018,99.1667%,1,119,120,59,1,0,60
0x509d64,0%,1,0,1,0,1,0,0
0x166a466,93.75%,1,15,16,0,1,0,15
0x5110e1,0%,1,0,1,0,1,0,0
0x939305,0%,1,0,1,0,0,1,0
0x4dcc2b,0%,1,0,1,0,1,0,0
0x1515f60,0%,1,0,1,0,1,0,0
0x511117,0%,1,0,1,0,1,0,0
0x1515fc7,0%,1,0,1,0,1,0,0
0x1515f04,0%,1,0,1,0,1,0,0
0x92a9c7,0%,1,0,1,0,1,0,0
0x932e31,99.9383%,1,1619,1620,0,0,1,1619
0x511099,0%,1,0,1,0,1,0,0
0x93214a,98.3333%,1,59,60,0,0,1,59
0x90b647,99.9142%,1,1164,1165,1164,1,0,0
0x14fa436,0%,1,0,1,0,1,0,0
0x1515ff1,0%,1,0,1,0,1,0,0
0x15f3cbd,99.9992%,1,118259,118260,118259,1,0,0
0x14fa286,0%,1,0,1,0,1,0,0
0x508308,99.9998%,1,440639,440640,434160,0,1,6479
0x928f5d,0%,1,0,1,0,1,0,0
0x511046,0%,1,0,1,0,1,0,0
0x166a367,91.6667%,1,11,12,8,1,0,3
0x51abe5,0%,1,0,1,0,1,0,0
0x4ea305,0%,1,0,1,0,1,0,0
0x508c96,0%,1,0,1,0,1,0,0
0xf2f4bd,99.9987%,1,79865,79866,75168,0,1,4697
0x8dee98,75%,1,3,4,3,1,0,0
0x14faa75,0%,1,0,1,0,1,0,0
0x14fa120,0%,1,0,1,0,1,0,0
0x517e57,0%,1,0,1,0,1,0,0
0x14faaaf,0%,1,0,1,0,1,0,0
0x14faad9,0%,1,0,1,0,1,0,0
0x9238e7,98.1481%,1,53,54,53,1,0,0
0x14fab7a,0%,1,0,1,0,1,0,0
0x14fabb7,0%,1,0,1,0,1,0,0
0xb73cc5,0%,1,0,1,0,1,0,0
0x93667a,99.9691%,1,3239,3240,1619,1,0,1620
0x14fabe1,0%,1,0,1,0,1,0,0
0x14f9f9e,0%,1,0,1,0,1,0,0
0x90b856,97.6744%,1,42,43,42,1,0,0
0x151825f,0%,1,0,1,0,1,0,0
0xf34a5e,0%,1,0,1,0,1,0,0
0x15174b1,0%,1,0,1,0,0,1,0
0x151793b,0%,1,0,1,0,1,0,0
0x51a678,0%,1,0,1,0,1,0,0
0xa9771e,0%,1,0,1,0,1,0,0
0x5120b6,75%,1,3,4,3,0,1,0
0x5237e0,0%,1,0,1,0,0,1,0
0x14fa077,0%,1,0,1,0,1,0,0
0x14fa023,0%,1,0,1,0,1,0,0
0x5237fd,0%,1,0,1,0,1,0,0
0x14fa406,0%,1,0,1,0,1,0,0
0x14fa226,0%,1,0,1,0,1,0,0
0x14fa2b6,0%,1,0,1,0,1,0,0
0x14fa316,0%,1,0,1,0,1,0,0
0x151387a,0%,1,0,1,0,1,0,0
0x14fa200,0%,1,0,1,0,1,0,0
0x52ac66,99.9383%,1,1619,1620,1619,1,0,0
0x14fa3a6,0%,1,0,1,0,1,0,0
0x4f7483,99.1667%,1,119,120,59,1,0,60
0x14fa3d6,0%,1,0,1,0,1,0,0
0x14fa1cb,0%,1,0,1,0,1,0,0
0x509d18,0%,1,0,1,0,1,0,0
0x14fa0b4,0%,1,0,1,0,1,0,0
0x528fc2,75%,1,3,4,2,1,0,1
0x14fa466,0%,1,0,1,0,1,0,0
0xa5f89f,0%,1,0,1,0,1,0,0
0x14fa17c,0%,1,0,1,0,1,0,0
0xb67a00,0%,1,0,1,0,1,0,0
0xb6a731,0%,1,0,1,0,1,0,0
0x14faf8d,0%,1,0,1,0,1,0,0
0x14faa1b,0%,1,0,1,0,1,0,0
0x1516dbc,0%,1,0,1,0,1,0,0
0x14faa45,0%,1,0,1,0,1,0,0
0x15186ec,0%,1,0,1,0,1,0,0
0x14fa14a,0%,1,0,1,0,1,0,0
