Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.9159%,17470,20751871,20769341,3455611,9122,8348,17296260
0x4af210,99.1981%,8170,1010711,1018881,82326,4354,3816,928385
0x41dc41,99.0086%,3367,336260,339627,270712,1697,1670,65548
0x41dbf1,99.372%,2133,337494,339627,258650,1454,679,78844
0x41dc23,99.5156%,1645,337982,339627,257225,502,1143,80757
0x41dd33,99.7403%,879,337570,338449,12900,455,424,324670
0x41ebcb,99.7876%,718,337249,337967,4619,362,356,332630
0x41dd10,99.9464%,182,339445,339627,1076,102,80,338369
0x41e429,99.952%,163,339464,339627,848,78,85,338616
0x41e927,99.9653%,118,339509,339627,337907,60,58,1602
0x41e440,99.9908%,31,338670,338701,1434,31,0,337236
0x41eca4,99.9909%,31,339596,339627,339596,0,31,0
0x41ebf5,99.9953%,16,338432,338448,13347,10,6,325085
0x41ebe6,99.9956%,15,339612,339627,1164,15,0,338448
0x41ec20,99.9994%,2,339625,339627,925,2,0,338700
0x41ec2f,100%,0,338700,338700,1465,0,0,337235
0x41ec6f,100%,0,337967,337967,4981,0,0,332986
0x41065d,100%,0,31,31,0,0,0,31
0x5ae3b8,100%,0,932202,932202,0,0,0,932202
0x412c01,100%,0,31,31,31,0,0,0
0x5ae478,100%,0,932202,932202,0,0,0,932202
0x4120e0,100%,0,31,31,31,0,0,0
0x5ae3ae,100%,0,932202,932202,0,0,0,932202
0x5dfd5f,100%,0,932202,932202,0,0,0,932202
0x4127af,100%,0,31,31,0,0,0,31
0x5ae441,100%,0,932202,932202,0,0,0,932202
0x5ae447,100%,0,932202,932202,932202,0,0,0
0x41ec60,100%,0,339627,339627,1660,0,0,337967
0x412057,100%,0,31,31,31,0,0,0
0x5dfd52,100%,0,932202,932202,0,0,0,932202
0x41dab9,100%,0,31,31,0,0,0,31
0x4127bd,100%,0,31,31,31,0,0,0
0x5ae437,100%,0,932202,932202,0,0,0,932202
0x41db57,100%,0,339627,339627,0,0,0,339627
0x5ae482,100%,0,932202,932202,0,0,0,932202
0x410666,100%,0,31,31,0,0,0,31
0x40e29a,100%,0,31,31,0,0,0,31
0x5ae396,100%,0,932201,932201,0,0,0,932201
0x4120da,100%,0,31,31,0,0,0,31
0x4127a4,100%,0,31,31,0,0,0,31
0x410619,100%,0,31,31,0,0,0,31
0x412282,100%,0,31,31,0,0,0,31
0x41228c,100%,0,31,31,0,0,0,31
0x410677,100%,0,31,31,0,0,0,31
0x40e2a3,100%,0,31,31,0,0,0,31
0x40e2b8,100%,0,31,31,0,0,0,31
0x40e2c7,100%,0,31,31,0,0,0,31
0x40e2e7,100%,0,31,31,0,0,0,31
0x40e310,100%,0,31,31,0,0,0,31
0x412278,100%,0,31,31,0,0,0,31
0x410645,100%,0,31,31,0,0,0,31
0x4108bd,100%,0,31,31,0,0,0,31
0x410649,100%,0,31,31,0,0,0,31
0x410685,100%,0,31,31,0,0,0,31
0x41068b,100%,0,31,31,31,0,0,0
0x4108a5,100%,0,31,31,31,0,0,0
0x40e1ee,100%,0,31,31,0,0,0,31
0x40e1f6,100%,0,31,31,31,0,0,0
0x5dfd87,100%,0,932202,932202,0,0,0,932202
0x41daf1,100%,0,31,31,0,0,0,31
0x4120ae,100%,0,31,31,31,0,0,0
0x5ae484,100%,0,932202,932202,932202,0,0,0
0x5dfd6b,100%,0,932202,932202,0,0,0,932202
0x5dfd73,100%,0,932202,932202,0,0,0,932202
0x412255,100%,0,31,31,0,0,0,31
0x5dfd82,100%,0,932202,932202,0,0,0,932202
0x4133bc,100%,0,31,31,31,0,0,0
0x40e2af,100%,0,31,31,0,0,0,31
0x412040,100%,0,31,31,31,0,0,0
0x41ecd1,100%,0,31,31,31,0,0,0
0x412261,100%,0,31,31,0,0,0,31
0x40e280,100%,0,31,31,0,0,0,31
0x412082,100%,0,31,31,31,0,0,0
0x41dae6,100%,0,31,31,0,0,0,31
0x41226e,100%,0,31,31,0,0,0,31
0x40e28d,100%,0,31,31,0,0,0,31
