Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,96.3404%,1009601,26578510,27588111,13401802,395898,613703,13176708
0x40e097,96.7922%,224749,6781582,7006331,6539554,41120,183629,242028
0x40dc85,87.5471%,84165,591699,675864,511463,31006,53159,80236
0x40e09f,88.9105%,74922,600688,675610,411302,34787,40135,189386
0x40dcd3,70.6786%,63647,153420,217067,92203,30160,33487,61217
0x40e06b,93.9382%,59909,928395,988304,218616,31337,28572,709779
0x41348c,65.2086%,54913,102922,157835,68677,23199,31714,34245
0x40dc48,81.6142%,40584,180151,220735,63874,19798,20786,116277
0x40dd12,85.1482%,32166,184414,216580,179112,5283,26883,5302
0x40d87e,82.8921%,30720,148846,179566,18330,20912,9808,130516
0x40f3f7,90.4839%,30335,288439,318774,278832,7703,22632,9607
0x40e0ea,95.5057%,30216,642109,672325,628061,5816,24400,14048
0x40e083,99.6641%,24588,7294438,7319026,290040,22655,1933,7004398
0x413463,89.7279%,16213,141622,157835,110599,5403,10810,31023
0x4138a7,80.1559%,13089,52870,65959,30366,6649,6440,22504
0x40d7ed,72.4188%,12355,32440,44795,2372,9350,3005,30068
0x40f407,62.5361%,12078,20161,32239,1768,9220,2858,18393
0x40f53e,96.3043%,11781,306993,318774,301914,713,11068,5079
0x40dc98,92.2707%,10594,126469,137063,90599,4321,6273,35870
0x40d823,76.7854%,10399,34396,44795,11072,5979,4420,23324
0x4133ca,92.4812%,9481,116616,126097,22618,6252,3229,93998
0x41299b,79.7068%,9177,36045,45222,6812,6447,2730,29233
0x41213b,73.9264%,8980,25461,34441,17717,3476,5504,7744
0x413116,70.1907%,8628,20316,28944,18937,1833,6795,1379
0x412447,77.1842%,7858,26583,34441,20360,2857,5001,6223
0x4132d2,62.0931%,7755,12703,20458,10223,2299,5456,2480
0x4133ac,95.3984%,7263,150572,157835,124068,2029,5234,26504
0x40b207,97.2913%,6866,246618,253484,93,6732,134,246525
0x412969,95.0887%,6766,130998,137764,114596,475,6291,16402
0x40e2ec,98.2303%,6299,349635,355934,348624,427,5872,1011
0x4134df,91.9264%,5936,67588,73524,64888,1010,4926,2700
0x412979,74.5516%,5775,16918,22693,5690,3744,2031,11228
0x411f39,73.5398%,5391,14983,20374,12805,1612,3779,2178
0x4124e1,87.4452%,4324,30117,34441,15386,3003,1321,14731
0x40dbe4,90.303%,4032,37548,41580,2740,2500,1532,34808
0x40d837,85.887%,3910,23795,27705,976,2995,915,22819
0x410177,84.2478%,3821,20436,24257,14930,1817,2004,5506
0x41331b,90.3906%,3503,32951,36454,5531,1979,1524,27420
0x4110ce,81.4455%,2996,13151,16147,4498,1295,1701,8653
0x40fe98,72.5621%,2960,7828,10788,1907,1761,1199,5921
0x413961,68.1138%,2813,6009,8822,5013,780,2033,996
0x40ed1c,84.1209%,2564,13583,16147,3020,1499,1065,10563
0x4130f4,93.8504%,2118,32323,34441,4112,1385,733,28211
0x410181,73.33%,2112,5807,7919,3393,952,1160,2414
0x41214f,84.2655%,2062,11043,13105,2633,1265,797,8410
0x41002c,84.4323%,1674,9079,10753,7257,662,1012,1822
0x4110e7,84.3152%,1624,8730,10354,7313,504,1120,1417
0x40dc75,99.7771%,1515,678017,679532,2262,1406,109,675755
0x412c2b,91.8208%,1490,16727,18217,12535,549,941,4192
0x40e01b,99.6044%,1408,354526,355934,526,981,427,354000
0x411c2b,67.3058%,1296,2668,3964,973,727,569,1695
0x40e0d2,99.8089%,1291,674319,675610,2041,1244,47,672278
0x411f45,78.8148%,1262,4695,5957,2249,686,576,2446
0x4102ad,89.1901%,1252,10330,11582,6973,988,264,3357
0x412bd9,97.2978%,1222,44000,45222,31470,493,729,12530
0x411e72,94.5715%,1106,19268,20374,13139,361,745,6129
0x411c5c,76.0245%,1094,3469,4563,1738,487,607,1731
0x4114fb,96.3622%,938,24847,25785,167,676,262,24680
0x411561,91.1918%,912,9442,10354,9274,131,781,168
0x4105c9,92.8941%,823,10759,11582,4,768,55,10755
0x41261e,91.157%,775,7989,8764,7568,134,641,421
0x4121a1,96.3857%,765,20401,21166,20110,141,624,291
0x4114bc,92.7274%,753,9601,10354,8528,354,399,1073
0x411c32,75.8006%,733,2296,3029,165,526,207,2131
0x41316e,91.9379%,659,7515,8174,4,630,29,7511
0x41164a,93.7222%,650,9704,10354,9692,77,573,12
0x4100c5,77.2759%,644,2190,2834,697,396,248,1493
0x4115a9,97.1177%,618,20823,21441,22,576,42,20801
0x410378,92.3251%,611,7350,7961,6015,80,531,1335
0x411e9a,95.5704%,598,12902,13500,1120,480,118,11782
0x411758,94.3597%,584,9770,10354,9677,72,512,93
0x4114c6,61.9565%,560,912,1472,232,325,235,680
0x41133e,93.5781%,502,7315,7817,7311,34,468,4
0x40ed56,95.8204%,486,11142,11628,10717,71,415,425
0x40f0b8,89.4003%,479,4040,4519,1428,227,252,2612
0x40dd02,99.789%,458,216609,217067,39,448,10,216570
0x4100bf,91.1508%,446,4594,5040,2139,115,331,2455
0x41011f,94.4564%,439,7480,7919,41,368,71,7439
0x412bb4,99.0668%,422,44800,45222,44101,127,295,699
0x412018,98.8738%,422,37048,37470,232,260,162,36816
0x40ee73,91.7902%,371,4148,4519,1659,144,227,2489
0x4119dc,88.7245%,343,2699,3042,102,272,71,2597
0x4111f0,97.7137%,338,14446,14784,14446,2,336,0
0x411be4,88.9402%,335,2694,3029,511,254,81,2183
0x411575,69.2308%,292,657,949,192,159,133,465
0x4116a9,95.9023%,270,6319,6589,5,245,25,6314
0x413248,96.8437%,258,7916,8174,40,198,60,7876
0x41366d,71.6667%,221,559,780,494,47,174,65
0x4121cd,76.6234%,216,708,924,132,145,71,576
0x411f0d,98.9447%,215,20159,20374,620,149,66,19539
0x4117aa,99.0926%,211,23041,23252,12,189,22,23029
0x4137bc,71.4088%,207,517,724,428,68,139,89
0x411665,65.2991%,203,382,585,266,69,134,116
0x41068b,96.9398%,189,5987,6176,5376,28,161,611
0x411db9,83.0896%,185,909,1094,891,31,154,18
0x4121f1,79.1619%,184,699,883,123,113,71,576
0x411773,73.5537%,160,445,605,284,49,111,161
0x41254e,99.0163%,155,15602,15757,15574,44,111,28
0x412143,98.8753%,149,13099,13248,1,142,7,13098
0x411cca,98.7702%,149,11967,12116,11932,12,137,35
0x40ed7f,82.381%,148,692,840,127,87,61,565
0x4112c8,99.6701%,143,43201,43344,32786,142,1,10415
0x41183a,98.6285%,142,10212,10354,529,92,50,9683
0x40edd1,79.393%,129,497,626,91,80,49,406
0x40f40f,99.4118%,125,21126,21251,21126,8,117,0
0x40f444,99.6154%,124,32115,32239,0,117,7,32115
0x412b10,93.7331%,116,1735,1851,583,71,45,1152
0x4124fe,99.3355%,103,15397,15500,212,83,20,15185
0x40b1ad,99.7745%,101,44694,44795,1588,87,14,43106
0x411862,97.2918%,94,3377,3471,75,75,19,3302
0x41183e,99.0445%,93,9640,9733,6218,44,49,3422
0x4129b8,99.3212%,90,13169,13259,13169,16,74,0
0x411312,99.1839%,85,10331,10416,10331,1,84,0
0x411141,98.9254%,84,7733,7817,7733,0,84,0
0x413837,89.2308%,84,696,780,456,11,73,240
0x4117b2,99.6573%,79,22972,23051,22972,8,71,0
0x412acc,64.7619%,74,136,210,115,24,50,21
0x411503,99.7113%,72,24870,24942,24870,0,72,0
0x40d889,99.9508%,69,140255,140324,137100,9,60,3155
0x4130bd,99.9521%,66,137698,137764,103302,21,45,34396
0x40b20e,99.9761%,59,246600,246659,246600,1,58,0
0x412c33,98.8895%,57,5076,5133,4949,9,48,127
0x410054,98.2004%,51,2783,2834,0,48,3,2783
0x40f19f,71.345%,49,122,171,108,15,34,14
0x40ec99,99.6975%,49,16147,16196,16147,0,49,0
0x409a4b,99.9512%,49,100303,100352,100303,0,49,0
0x40f1de,94.4048%,47,793,840,782,12,35,11
0x4134e7,99.3968%,46,7580,7626,7564,1,45,16
0x412827,68.0851%,45,96,141,89,20,25,7
0x412d68,98.7388%,45,3523,3568,3114,8,37,409
0x41123e,87.7976%,41,295,336,252,0,41,43
0x411d97,96.2523%,41,1053,1094,82,31,10,971
0x40d827,99.8594%,39,27705,27744,0,39,0,27705
0x40d85a,99.8148%,39,21022,21061,2309,29,10,18713
0x4136a5,83.682%,39,200,239,14,34,5,186
0x412dd4,91.704%,37,409,446,397,3,34,12
0x411ae4,98.7837%,37,3005,3042,2992,3,34,13
0x412366,99.8926%,37,34404,34441,21306,30,7,13098
0x412645,67.5439%,37,77,114,27,18,19,50
0x410014,99.6663%,36,10752,10788,0,35,1,10752
0x41300d,92.1525%,35,411,446,366,5,30,45
0x411d05,78.6164%,34,125,159,47,20,14,78
0x411dc3,99.7359%,32,12084,12116,9084,3,29,3000
0x4126b9,73.6842%,30,84,114,78,4,26,6
0x412af2,99.7813%,29,13230,13259,11394,14,15,1836
0x41186a,99.1268%,29,3292,3321,2884,8,21,408
0x412096,99.9187%,28,34413,34441,34413,0,28,0
0x412f8d,71.7172%,28,71,99,46,10,18,25
0x41216c,99.8915%,23,21170,21193,21163,2,21,7
0x442c83,97.3744%,23,853,876,442,17,6,411
0x4121f6,96.7543%,21,626,647,30,18,3,596
0x4129e2,72.973%,20,54,74,49,10,10,5
0x40b1be,99.9559%,19,43101,43120,36233,4,15,6868
0x4138ff,99.7846%,19,8803,8822,8803,2,17,0
0x412624,98.2109%,19,1043,1062,1043,4,15,0
0x411b3a,61.7021%,18,29,47,20,8,10,9
0x4134f6,99.9757%,16,65943,65959,65174,5,11,769
0x4120b5,44.4444%,15,12,27,9,9,6,3
0x411ce7,91.8605%,14,158,172,1,12,2,157
0x413774,78.4615%,14,51,65,10,7,7,41
0x412421,99.9924%,13,170675,170688,149349,3,10,21326
0x411df9,99.6038%,12,3017,3029,0,7,5,3017
0x413782,95.3975%,11,228,239,0,11,0,228
0x411a40,99.9485%,11,21333,21344,18672,4,7,2661
0x412f33,76.087%,11,35,46,1,2,9,34
0x411b85,99.6384%,11,3031,3042,3027,2,9,4
0x412e09,78.2609%,10,36,46,25,7,3,11
0x412f25,82.7586%,10,48,58,23,3,7,25
0x412894,91.2281%,10,104,114,72,1,9,32
0x412630,99.8704%,10,7707,7717,7603,0,10,104
0x40dcb4,99.9786%,9,42134,42143,3659,9,0,38475
0x412c45,99.9397%,8,13251,13259,12808,5,3,443
0x4125dd,99.9565%,8,18381,18389,10667,5,3,7714
0x442c94,99.0868%,8,868,876,137,3,5,731
0x41360f,99.8718%,8,6232,6240,5458,2,6,774
0x4124f6,99.9564%,7,16045,16052,547,5,2,15498
0x4125bd,99.9797%,7,34434,34441,16047,5,2,18387
0x412e88,78.125%,7,25,32,3,1,6,22
0x4111d1,99.9921%,7,88697,88704,73916,4,3,14781
0x40f0aa,99.9584%,6,14418,14424,12619,2,4,1799
0x442c57,99.384%,6,968,974,98,0,6,870
0x412046,99.9838%,6,36972,36978,2534,3,3,34438
0x411e1a,99.8018%,6,3022,3028,0,6,0,3022
0x40f3ce,99.963%,6,16190,16196,45,4,2,16145
0x412190,77.7778%,6,21,27,7,2,4,14
0x4126d4,81.25%,6,26,32,14,1,5,12
0x410668,99.973%,5,18523,18528,12349,3,2,6174
0x411a83,99.8329%,5,2987,2992,2615,3,2,372
0x40d933,99.9903%,5,51435,51440,3210,5,0,48225
0x412a8d,93.2432%,5,69,74,1,2,3,68
0x412f57,93.0233%,3,40,43,0,3,0,40
0x4113fd,99.9603%,3,7549,7552,7078,2,1,471
0x4116b1,99.9527%,3,6336,6339,6336,3,0,0
0x40d916,99.9378%,2,3214,3216,0,1,1,3214
0x412174,96.4286%,1,27,28,0,1,0,27
0x4123b1,99.999%,1,104839,104840,91734,1,0,13105
0x411f53,99.967%,1,3028,3029,0,0,1,3028
0x413926,94.1176%,1,16,17,0,1,0,16
0x4120a0,96.4286%,1,27,28,0,1,0,27
0x4127ef,96.875%,1,31,32,0,0,1,31
0x4120df,0%,1,0,1,0,1,0,0
0x40d991,0%,1,0,1,0,1,0,0
0x40d9fa,100%,0,3215,3215,3215,0,0,0
0x40af26,100%,0,98,98,0,0,0,98
0x404bb0,100%,0,49,49,0,0,0,49
0x4099cf,100%,0,49,49,0,0,0,49
0x401a9a,100%,0,49,49,49,0,0,0
0x406318,100%,0,49,49,49,0,0,0
0x40d739,100%,0,44795,44795,44795,0,0,0
0x401ff5,100%,0,49,49,49,0,0,0
0x4130dc,100%,0,34441,34441,34441,0,0,0
0x401fce,100%,0,49,49,0,0,0,49
0x40afb8,100%,0,49,49,49,0,0,0
0x4020ad,100%,0,49,49,0,0,0,49
0x401a08,100%,0,49,49,0,0,0,49
0x41258c,100%,0,34441,34441,0,0,0,34441
0x4125f6,100%,0,7717,7717,0,0,0,7717
0x41fee2,100%,0,98,98,0,0,0,98
0x401fb6,100%,0,49,49,0,0,0,49
0x41fefc,100%,0,98,98,98,0,0,0
0x40af17,100%,0,98,98,0,0,0,98
0x40b09a,100%,0,49,49,49,0,0,0
0x40d982,100%,0,1,1,0,0,0,1
0x41121d,100%,0,10080,10080,9744,0,0,336
0x40af35,100%,0,98,98,49,0,0,49
0x4097bc,100%,0,49,49,49,0,0,0
0x401f99,100%,0,49,49,0,0,0,49
0x40ebbf,100%,0,49,49,0,0,0,49
0x401fd7,100%,0,49,49,0,0,0,49
0x442caa,100%,0,876,876,876,0,0,0
0x40ec6c,100%,0,16196,16196,0,0,0,16196
0x411178,100%,0,336,336,0,0,0,336
0x401fa4,100%,0,49,49,0,0,0,49
0x442c6c,100%,0,876,876,876,0,0,0
0x40b054,100%,0,49,49,0,0,0,49
0x404bfe,100%,0,49,49,49,0,0,0
0x40b07d,100%,0,49,49,0,0,0,49
0x4129a3,100%,0,31963,31963,31963,0,0,0
0x401fc8,100%,0,49,49,0,0,0,49
0x411eaf,100%,0,1600,1600,0,0,0,1600
0x401f4d,100%,0,49,49,0,0,0,49
0x404b1d,100%,0,49,49,0,0,0,49
0x412c0c,100%,0,13259,13259,0,0,0,13259
0x404b32,100%,0,49,49,49,0,0,0
0x410618,100%,0,772,772,0,0,0,772
0x4099a9,100%,0,49,49,49,0,0,0
0x40d8d9,100%,0,3215,3215,0,0,0,3215
0x40af42,100%,0,49,49,0,0,0,49
0x40d945,100%,0,48225,48225,48225,0,0,0
0x412a84,100%,0,15,15,0,0,0,15
0x40af51,100%,0,49,49,0,0,0,49
0x40b01e,100%,0,49,49,49,0,0,0
0x40b03a,100%,0,49,49,49,0,0,0
0x412988,100%,0,13259,13259,0,0,0,13259
0x401faf,100%,0,49,49,0,0,0,49
0x401f83,100%,0,49,49,0,0,0,49
0x401f78,100%,0,49,49,0,0,0,49
0x418177,100%,0,49,49,49,0,0,0
0x401f5a,100%,0,49,49,0,0,0,49
0x401f2a,100%,0,49,49,49,0,0,0
0x41f134,100%,0,49,49,49,0,0,0
0x442d17,100%,0,98,98,98,0,0,0
0x40e9be,100%,0,49,49,49,0,0,0
0x442da9,100%,0,98,98,0,0,0,98
0x41f106,100%,0,49,49,49,0,0,0
0x41f0e6,100%,0,49,49,0,0,0,49
0x41f0be,100%,0,49,49,0,0,0,49
0x401a20,100%,0,49,49,0,0,0,49
0x4060ec,100%,0,49,49,0,0,0,49
0x406131,100%,0,49,49,49,0,0,0
0x401f11,100%,0,49,49,49,0,0,0
0x411454,100%,0,10354,10354,10354,0,0,0
0x40af68,100%,0,49,49,49,0,0,0
0x4133e3,100%,0,28870,28870,0,0,0,28870
0x41f086,100%,0,49,49,49,0,0,0
0x4181f2,100%,0,49,49,49,0,0,0
0x4099de,100%,0,49,49,0,0,0,49
0x4105be,100%,0,11582,11582,0,0,0,11582
0x41323b,100%,0,634,634,0,0,0,634
0x40ec76,100%,0,16196,16196,0,0,0,16196
0x40f48c,100%,0,318774,318774,0,0,0,318774
0x4127e3,100%,0,15,15,0,0,0,15
0x40b1df,100%,0,6883,6883,0,0,0,6883
0x411421,100%,0,7817,7817,7817,0,0,0
0x409a53,100%,0,49,49,49,0,0,0
0x41f0b5,100%,0,49,49,0,0,0,49
0x40d94f,100%,0,1,1,0,0,0,1
0x4097b7,100%,0,49,49,0,0,0,49
0x40f428,100%,0,32239,32239,0,0,0,32239
0x41f0d0,100%,0,49,49,0,0,0,49
0x40d8c3,100%,0,3215,3215,0,0,0,3215
0x41fee7,100%,0,98,98,0,0,0,98
0x4134be,100%,0,65959,65959,0,0,0,65959
0x40d863,100%,0,42457,42457,0,0,0,42457
0x40d7dc,100%,0,44795,44795,0,0,0,44795
0x40ec90,100%,0,16196,16196,0,0,0,16196
0x40ec9f,100%,0,49,49,49,0,0,0
0x401f43,100%,0,49,49,0,0,0,49
0x40e156,100%,0,355934,355934,355934,0,0,0
0x40e005,100%,0,355934,355934,0,0,0,355934
0x40feb1,100%,0,3668,3668,0,0,0,3668
0x40ecb5,100%,0,16147,16147,16147,0,0,0
0x404be6,100%,0,49,49,0,0,0,49
0x401a95,100%,0,49,49,0,0,0,49
0x4118dc,100%,0,6262,6262,0,0,0,6262
0x401fe9,100%,0,49,49,0,0,0,49
0x40df51,100%,0,355934,355934,355934,0,0,0
0x442dc4,100%,0,98,98,0,0,0,98
0x417feb,100%,0,49,49,0,0,0,49
0x40627a,100%,0,49,49,0,0,0,49
0x410685,100%,0,6176,6176,0,0,0,6176
0x40dd69,100%,0,41580,41580,41580,0,0,0
0x4106a6,100%,0,772,772,0,0,0,772
0x41071e,100%,0,5404,5404,772,0,0,4632
0x410724,100%,0,4632,4632,4632,0,0,0
0x401add,100%,0,49,49,0,0,0,49
0x4115b1,100%,0,20843,20843,20843,0,0,0
0x442cda,100%,0,98,98,98,0,0,0
0x41010f,100%,0,7919,7919,0,0,0,7919
0x410729,100%,0,772,772,772,0,0,0
0x442dba,100%,0,98,98,0,0,0,98
0x40b05e,100%,0,49,49,49,0,0,0
0x4020b9,100%,0,49,49,0,0,0,49
0x401f68,100%,0,49,49,0,0,0,49
0x41069c,100%,0,772,772,0,0,0,772
0x41070b,100%,0,16212,16212,10808,0,0,5404
0x40dbca,100%,0,41580,41580,0,0,0,41580
0x442c5c,100%,0,876,876,876,0,0,0
0x41189a,100%,0,621,621,0,0,0,621
0x401fbd,100%,0,49,49,0,0,0,49
0x4111f5,100%,0,336,336,0,0,0,336
0x40f25d,100%,0,16147,16147,16147,0,0,0
0x418045,100%,0,49,49,0,0,0,49
0x401f8e,100%,0,49,49,0,0,0,49
0x401fef,100%,0,49,49,0,0,0,49
0x4114b3,100%,0,10354,10354,0,0,0,10354
