Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.4374%,115992,20499501,20615493,7847820,61792,54200,12651681
0x162634e,87.5642%,52916,372596,425512,182867,28205,24711,189729
0x1626359,90.6342%,20084,194356,214440,26148,14284,5800,168208
0x1626664,96.6986%,14048,411464,425512,151582,8709,5339,259882
0x1625fec,98.6166%,7310,521099,528409,516574,1160,6150,4525
0x13ac2d2,80.0162%,6412,25674,32086,11833,3134,3278,13841
0x16260ca,99.1507%,4397,513338,517735,207571,2503,1894,305767
0x1626373,99.4948%,2979,586711,589690,476523,1215,1764,110188
0x15f25ed,98.9209%,2200,201681,203881,80846,796,1404,120835
0x13ac33d,94.6051%,1731,30355,32086,30314,85,1646,41
0x16262c7,99.6929%,1467,476271,477738,51763,463,1004,424508
0x15f2588,99.7367%,663,251160,251823,203429,452,211,47731
0x1626004,95.0632%,527,10148,10675,5555,292,235,4593
0x13b0e39,90.9306%,153,1534,1687,749,85,68,785
0x13b0c27,87.7808%,136,977,1113,787,63,73,190
0x13b0fa8,91.9384%,136,1551,1687,528,46,90,1023
0x16744be,87.7442%,69,494,563,362,40,29,132
0x13b0ba4,97.439%,43,1636,1679,533,33,10,1103
0x13afb9c,97.4985%,42,1637,1679,1094,12,30,543
0x13ad25c,97.7963%,37,1642,1679,1097,9,28,545
0x13accd9,97.7963%,37,1642,1679,539,27,10,1103
0x13acdd4,97.8559%,36,1643,1679,1643,13,23,0
0x13abb94,99.957%,34,79106,79140,39094,22,12,40012
0x13aca00,92.029%,33,381,414,381,10,23,0
0x13af96a,98.0345%,33,1646,1679,1646,10,23,0
0x13b01dd,98.0345%,33,1646,1679,1100,6,27,546
0x13af898,98.2132%,30,1649,1679,551,22,8,1098
0x13b0236,98.2728%,29,1650,1679,1650,6,23,0
0x13afdce,98.3323%,28,1651,1679,1651,5,23,0
0x13b0d34,98.3323%,28,1651,1679,1651,5,23,0
0x13b0348,93.4783%,27,387,414,387,4,23,0
0x13b2562,98.4588%,26,1661,1687,1661,3,23,0
0x13ac906,98.511%,25,1654,1679,1654,2,23,0
0x13ac7c1,98.5706%,24,1655,1679,1655,1,23,0
0x166a1ee,94.2029%,24,390,414,387,4,20,3
0x13b00af,94.2029%,24,390,414,387,4,20,3
0x13b0816,95.8937%,17,397,414,388,3,14,9
0x13acb33,96.8599%,13,401,414,386,5,8,15
0x13b0771,96.8599%,13,401,414,386,5,8,15
0x13ac63c,97.1014%,12,402,414,391,0,12,11
0x13b08fd,97.1014%,12,402,414,390,1,11,12
0x13b0694,97.343%,11,403,414,389,2,9,14
0x1680108,99.0217%,9,911,920,181,3,6,730
0x13b0ce4,99.5831%,7,1672,1679,850,6,1,822
0x1680148,96.7391%,6,178,184,17,6,0,161
0x15f3cfe,99.999%,6,589683,589689,537460,3,3,52223
0x16800bf,99.3789%,4,640,644,481,2,2,159
0x168009a,97.8261%,4,180,184,19,4,0,161
0x1668913,99.4565%,3,549,552,0,0,3,549
0x13b0e82,99.8222%,3,1684,1687,850,3,0,834
0x1625f37,99.9996%,3,676152,676155,528407,2,1,147745
0x15f3ac6,99.9404%,2,3356,3358,3356,2,0,0
0x16800de,98.913%,2,182,184,0,0,2,182
0x13ad372,99.8809%,2,1677,1679,1677,2,0,0
0x13b1fc3,99.7602%,2,832,834,0,0,2,832
0x16688f5,99.6377%,2,550,552,0,0,2,550
0x162625a,99.9996%,2,477736,477738,477736,2,0,0
0x13b07b1,91.3043%,2,21,23,0,0,2,21
0x162629c,99.9996%,2,477736,477738,0,0,2,477736
0x13b1a9b,99.7602%,2,832,834,0,0,2,832
0x162624d,99.9998%,1,589689,589690,589689,1,0,0
0x13afd8f,99.9404%,1,1678,1679,0,0,1,1678
0x1625ebb,99.9999%,1,676154,676155,676154,1,0,0
0x1626658,99.9998%,1,425511,425512,0,0,1,425511
0x168002c,95.6522%,1,22,23,22,1,0,0
0x13b0ee3,99.8801%,1,833,834,833,1,0,0
0x13b1807,99.8801%,1,833,834,0,0,1,833
0x1626284,99.9998%,1,477737,477738,0,0,1,477737
0x13b2059,99.8801%,1,833,834,0,0,1,833
0x1625ef0,99.9999%,1,676154,676155,0,0,1,676154
0x1626854,99.9981%,1,52225,52226,52225,1,0,0
0x13b0d75,95.6522%,1,22,23,0,0,1,22
0x15f3d1e,99.9981%,1,52225,52226,0,0,1,52225
0x16688aa,99.8188%,1,551,552,551,1,0,0
0x15f3d2c,99.9981%,1,52225,52226,0,0,1,52225
0x1680054,95.6522%,1,22,23,22,1,0,0
0x1626290,99.9998%,1,477737,477738,0,0,1,477737
0x1674495,99.3789%,1,160,161,0,0,1,160
0x1668bb5,99.8188%,1,551,552,0,0,1,551
0x13b1bd5,99.8801%,1,833,834,0,0,1,833
0x1680132,99.8641%,1,735,736,735,1,0,0
0x1668c6e,99.8188%,1,551,552,0,0,1,551
0x1625acd,99.9702%,1,3357,3358,0,0,1,3357
0x13b0437,95.6522%,1,22,23,0,0,1,22
0x168001c,95.6522%,1,22,23,22,1,0,0
0x1680043,95.6522%,1,22,23,0,0,1,22
0x13b0c9d,99.9404%,1,1678,1679,0,0,1,1678
0x166893c,99.8188%,1,551,552,0,0,1,551
0x13b0e5b,99.8828%,1,852,853,852,1,0,0
0x1680017,99.4565%,1,183,184,183,1,0,0
0x15f258f,100%,0,47942,47942,47942,0,0,0
0x13b0529,100%,0,23,23,0,0,0,23
0x166a43c,100%,0,23,23,0,0,0,23
0x13b0862,100%,0,23,23,0,0,0,23
0x13b0136,100%,0,23,23,0,0,0,23
0x15f3d33,100%,0,52226,52226,0,0,0,52226
0x1626633,100%,0,425512,425512,0,0,0,425512
0x13b0e99,100%,0,834,834,834,0,0,0
0x1626279,100%,0,477738,477738,0,0,0,477738
0x1668999,100%,0,552,552,552,0,0,0
0x167441c,100%,0,161,161,161,0,0,0
0x1669cdd,100%,0,23,23,0,0,0,23
0x1669e4c,100%,0,552,552,552,0,0,0
0x1668901,100%,0,552,552,0,0,0,552
0x1668892,100%,0,552,552,0,0,0,552
0x13ace21,100%,0,23,23,0,0,0,23
0x15f254a,100%,0,251823,251823,0,0,0,251823
0x13aedd7,100%,0,1679,1679,1679,0,0,0
0x13b001b,100%,0,23,23,0,0,0,23
0x13b0c4e,100%,0,566,566,0,0,0,566
0x166bd23,100%,0,552,552,0,0,0,552
0x1668884,100%,0,552,552,0,0,0,552
0x13abe84,100%,0,40025,40025,0,0,0,40025
0x13b04d9,100%,0,23,23,0,0,0,23
0x13b04b2,100%,0,23,23,0,0,0,23
0x15f3cbd,100%,0,589689,589689,589689,0,0,0
0x16262fb,100%,0,425512,425512,0,0,0,425512
0x13acbab,100%,0,23,23,0,0,0,23
0x13b04a0,100%,0,23,23,0,0,0,23
0x13aca5a,100%,0,23,23,0,0,0,23
0x1669e15,100%,0,575,575,23,0,0,552
0x13adbd1,100%,0,1679,1679,1679,0,0,0
0x13b0449,100%,0,23,23,0,0,0,23
0x13b1feb,100%,0,834,834,0,0,0,834
0x162679b,100%,0,425511,425511,0,0,0,425511
0x13b0562,100%,0,23,23,0,0,0,23
0x1668c9a,100%,0,552,552,0,0,0,552
0x1668c87,100%,0,552,552,552,0,0,0
0x13b07c8,100%,0,23,23,0,0,0,23
0x162664d,100%,0,425512,425512,0,0,0,425512
0x1668c7a,100%,0,552,552,0,0,0,552
0x15f3d27,100%,0,52226,52226,0,0,0,52226
0x1669f83,100%,0,23,23,0,0,0,23
0x13b05b4,100%,0,23,23,0,0,0,23
0x1625ac1,100%,0,3358,3358,0,0,0,3358
0x1668968,100%,0,552,552,0,0,0,552
0x1668867,100%,0,552,552,552,0,0,0
0x13accea,100%,0,1113,1113,1113,0,0,0
0x13afa20,100%,0,23,23,0,0,0,23
0x13b04c7,100%,0,23,23,0,0,0,23
0x1669e96,100%,0,23,23,23,0,0,0
0x16263a0,100%,0,477738,477738,477738,0,0,0
0x1668755,100%,0,552,552,552,0,0,0
0x13afa46,100%,0,23,23,0,0,0,23
0x13b0420,100%,0,23,23,0,0,0,23
0x166883e,100%,0,552,552,552,0,0,0
0x1625f45,100%,0,147746,147746,0,0,0,147746
0x13b2078,100%,0,834,834,0,0,0,834
0x16265dd,100%,0,425512,425512,425512,0,0,0
0x166bd8b,100%,0,552,552,0,0,0,552
0x166a1e6,100%,0,391,391,0,0,0,391
0x166c39a,100%,0,552,552,0,0,0,552
0x1669c05,100%,0,552,552,552,0,0,0
0x13b0226,100%,0,1106,1106,0,0,0,1106
0x13b0278,100%,0,23,23,0,0,0,23
0x13b0203,100%,0,1106,1106,0,0,0,1106
0x13afbe3,100%,0,573,573,573,0,0,0
0x13b00c0,100%,0,23,23,0,0,0,23
0x13b07ac,100%,0,23,23,0,0,0,23
0x13b047c,100%,0,23,23,0,0,0,23
0x13b050a,100%,0,23,23,0,0,0,23
0x13b2021,100%,0,834,834,0,0,0,834
0x13affc6,100%,0,23,23,0,0,0,23
0x1626639,100%,0,425512,425512,0,0,0,425512
0x166885b,100%,0,552,552,0,0,0,552
0x13af73e,100%,0,1679,1679,0,0,0,1679
0x13affeb,100%,0,23,23,0,0,0,23
0x13b0460,100%,0,23,23,0,0,0,23
0x13b3122,100%,0,23,23,23,0,0,0
0x1668ba0,100%,0,552,552,552,0,0,0
0x15f3d35,100%,0,52226,52226,52226,0,0,0
0x13af8b9,100%,0,1106,1106,0,0,0,1106
0x1669253,100%,0,552,552,552,0,0,0
0x13af98b,100%,0,23,23,0,0,0,23
0x1668873,100%,0,552,552,0,0,0,552
0x166aea0,100%,0,23,23,0,0,0,23
0x13b20aa,100%,0,853,853,853,0,0,0
0x1668733,100%,0,552,552,0,0,0,552
0x13af990,100%,0,23,23,0,0,0,23
0x13b024b,100%,0,23,23,0,0,0,23
0x1668832,100%,0,552,552,0,0,0,552
0x1668745,100%,0,552,552,0,0,0,552
0x13b14f4,100%,0,834,834,0,0,0,834
0x13b051f,100%,0,23,23,0,0,0,23
0x13af9a9,100%,0,23,23,0,0,0,23
0x166873d,100%,0,552,552,0,0,0,552
0x1668729,100%,0,552,552,0,0,0,552
0x1669edb,100%,0,23,23,23,0,0,0
0x166aea7,100%,0,23,23,0,0,0,23
0x166c3a3,100%,0,552,552,0,0,0,552
0x166a466,100%,0,23,23,0,0,0,23
0x166a11b,100%,0,23,23,0,0,0,23
0x166a10f,100%,0,23,23,0,0,0,23
0x166a0f6,100%,0,23,23,0,0,0,23
0x166a0dd,100%,0,23,23,0,0,0,23
0x166a1f7,100%,0,23,23,23,0,0,0
0x166a0a6,100%,0,23,23,0,0,0,23
0x166bda0,100%,0,552,552,0,0,0,552
0x1669e08,100%,0,23,23,0,0,0,23
0x166a3bf,100%,0,23,23,0,0,0,23
0x1669e7b,100%,0,23,23,23,0,0,0
0x1669e6a,100%,0,23,23,0,0,0,23
0x1669e5d,100%,0,23,23,0,0,0,23
0x166a0e9,100%,0,23,23,0,0,0,23
0x1669e47,100%,0,552,552,0,0,0,552
0x1669e36,100%,0,552,552,0,0,0,552
0x166a128,100%,0,23,23,23,0,0,0
0x1669c80,100%,0,552,552,0,0,0,552
0x1669bda,100%,0,552,552,0,0,0,552
0x166bd4b,100%,0,552,552,552,0,0,0
0x166bd37,100%,0,552,552,0,0,0,552
0x166a459,100%,0,23,23,0,0,0,23
0x166bd5c,100%,0,552,552,0,0,0,552
0x16800d7,100%,0,184,184,0,0,0,184
0x13b280b,100%,0,23,23,23,0,0,0
0x13b05be,100%,0,23,23,0,0,0,23
0x13b0596,100%,0,23,23,0,0,0,23
0x166bd97,100%,0,552,552,0,0,0,552
0x13b0581,100%,0,23,23,0,0,0,23
0x13b0558,100%,0,23,23,0,0,0,23
0x13b053e,100%,0,23,23,0,0,0,23
0x13b09a0,100%,0,23,23,0,0,0,23
0x15f3d0e,100%,0,52226,52226,0,0,0,52226
0x13b0948,100%,0,23,23,0,0,0,23
0x13b0943,100%,0,23,23,0,0,0,23
0x13b088d,100%,0,23,23,0,0,0,23
0x13b0731,100%,0,23,23,0,0,0,23
0x13b070b,100%,0,23,23,23,0,0,0
0x13b06b2,100%,0,23,23,0,0,0,23
0x13acded,100%,0,23,23,23,0,0,0
0x13b0911,100%,0,23,23,0,0,0,23
0x15f3abf,100%,0,3358,3358,3358,0,0,0
0x168006a,100%,0,23,23,23,0,0,0
0x13aca67,100%,0,23,23,0,0,0,23
0x13aca2b,100%,0,23,23,0,0,0,23
0x13b0658,100%,0,23,23,0,0,0,23
0x13ac9ca,100%,0,23,23,0,0,0,23
0x13ac648,100%,0,23,23,0,0,0,23
0x13ac91f,100%,0,23,23,0,0,0,23
0x13ac7d6,100%,0,23,23,23,0,0,0
0x13ac6a3,100%,0,23,23,23,0,0,0
0x13ac696,100%,0,23,23,0,0,0,23
0x13ac5ce,100%,0,23,23,0,0,0,23
0x13ac5a1,100%,0,23,23,23,0,0,0
0x1669fdd,100%,0,529,529,0,0,0,529
0x166bd7c,100%,0,552,552,552,0,0,0
0x166bd73,100%,0,552,552,0,0,0,552
0x166a3e8,100%,0,23,23,23,0,0,0
0x166ae91,100%,0,23,23,0,0,0,23
0x166a3de,100%,0,23,23,23,0,0,0
0x166a3d4,100%,0,23,23,0,0,0,23
0x166a39b,100%,0,23,23,0,0,0,23
0x13b1e6d,100%,0,834,834,0,0,0,834
0x13b0416,100%,0,23,23,0,0,0,23
0x13b1d2d,100%,0,834,834,0,0,0,834
0x166891d,100%,0,552,552,0,0,0,552
0x162623c,100%,0,589690,589690,0,0,0,589690
0x13b077d,100%,0,23,23,0,0,0,23
0x1625f50,100%,0,147746,147746,0,0,0,147746
0x1669e29,100%,0,552,552,0,0,0,552
0x15f256c,100%,0,251823,251823,0,0,0,251823
0x13affcb,100%,0,23,23,0,0,0,23
0x13b0cec,100%,0,823,823,0,0,0,823
0x13acb46,100%,0,23,23,0,0,0,23
0x16688a0,100%,0,552,552,0,0,0,552
0x13b0822,100%,0,23,23,0,0,0,23
0x13aedce,100%,0,1679,1679,0,0,0,1679
0x13ad364,100%,0,1679,1679,0,0,0,1679
0x13aed41,100%,0,1679,1679,0,0,0,1679
0x13abfa5,100%,0,40024,40024,0,0,0,40024
0x13af9f3,100%,0,23,23,0,0,0,23
0x166c3bc,100%,0,552,552,552,0,0,0
0x1669c9a,100%,0,552,552,552,0,0,0
0x166a028,100%,0,529,529,529,0,0,0
0x166c3b3,100%,0,552,552,0,0,0,552
0x15f2495,100%,0,251823,251823,251823,0,0,0
0x13b04f5,100%,0,23,23,0,0,0,23
0x16262a8,100%,0,477738,477738,0,0,0,477738
0x166a3b5,100%,0,23,23,0,0,0,23
0x15f2463,100%,0,251823,251823,251823,0,0,0
0x13b0156,100%,0,23,23,0,0,0,23
0x15f3ab6,100%,0,3358,3358,0,0,0,3358
0x1669fb4,100%,0,529,529,0,0,0,529
0x13b0577,100%,0,23,23,0,0,0,23
0x162626e,100%,0,477738,477738,0,0,0,477738
0x162684b,100%,0,52226,52226,0,0,0,52226
0x1626307,100%,0,425512,425512,425512,0,0,0
0x13acbc0,100%,0,23,23,0,0,0,23
0x1625f3f,100%,0,147746,147746,0,0,0,147746
0x13b194c,100%,0,834,834,0,0,0,834
0x13b06ee,100%,0,23,23,0,0,0,23
0x16262b4,100%,0,477738,477738,0,0,0,477738
0x13b13d4,100%,0,834,834,0,0,0,834
0x13b100b,100%,0,1687,1687,853,0,0,834
0x13ac311,100%,0,14967,14967,0,0,0,14967
0x166bda5,100%,0,552,552,0,0,0,552
0x13b014e,100%,0,23,23,0,0,0,23
0x166a102,100%,0,23,23,0,0,0,23
0x13b0491,100%,0,23,23,0,0,0,23
0x1668953,100%,0,552,552,0,0,0,552
0x13b0356,100%,0,23,23,0,0,0,23
0x13acad6,100%,0,23,23,0,0,0,23
0x13b05a5,100%,0,23,23,0,0,0,23
0x1668933,100%,0,552,552,0,0,0,552
0x16262dc,100%,0,425512,425512,0,0,0,425512
0x1626320,100%,0,425512,425512,425512,0,0,0
0x15f3d2e,100%,0,52226,52226,0,0,0,52226
0x13b085d,100%,0,23,23,0,0,0,23
0x13b046a,100%,0,23,23,0,0,0,23
0x15f3be9,100%,0,676155,676155,0,0,0,676155
0x13ac256,100%,0,1687,1687,0,0,0,1687
0x1669fa7,100%,0,552,552,23,0,0,529
0x16262ef,100%,0,425512,425512,0,0,0,425512
0x15f3cb5,100%,0,589689,589689,0,0,0,589689
