Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.9191%,56598,69867606,69924204,23646238,36565,20033,46221368
0x40f7c3,99.8771%,27035,21963618,21990653,255312,26791,244,21708306
0xa52640,90.4363%,18324,173276,191600,172555,493,17831,721
0xa525bb,81.4101%,4709,20622,25331,509,4429,280,20113
0xa52623,82.1014%,4533,20793,25326,3435,3339,1194,17358
0xa525f7,74.7629%,1703,5045,6748,430,1385,318,4615
0xa52200,94.9173%,43,803,846,735,15,28,68
0x40e3aa,99.0773%,40,4295,4335,4284,1,39,11
0xa52180,94.5701%,24,418,442,409,7,17,9
0xa521e4,95%,22,418,440,334,10,12,84
0xa521b4,73.4375%,17,47,64,33,9,8,14
0xa521db,61.9048%,16,26,42,10,8,8,16
0x40f54b,99.9954%,13,282090,282103,39,6,7,282051
0xa5223c,97.5%,11,429,440,8,4,7,421
0xa4c449,99.9619%,10,26215,26225,440,8,2,25775
0xa52242,97.8972%,9,419,428,1,3,6,418
0x40d412,97.9358%,9,427,436,425,5,4,2
0xa5236c,98.3945%,7,429,436,349,3,4,80
0x40e289,99.8387%,7,4333,4340,0,5,2,4333
0x40f894,99.9975%,7,282101,282108,256771,2,5,25330
0xa52602,99.8223%,6,3371,3377,0,5,1,3371
0x40d4a5,98.6239%,6,430,436,429,3,3,1
0xa52296,99.3455%,5,759,764,421,3,2,338
0xa525ea,99.9506%,5,10120,10125,3372,5,0,6748
0x40d224,20%,4,1,5,1,4,0,0
0xa51668,20%,4,1,5,1,2,2,0
0xa521bc,86.3636%,3,19,22,19,1,2,0
0x40d44f,83.3333%,3,15,18,11,1,2,4
0xa52326,99.3119%,3,433,436,430,2,1,3
0x40f7d4,100%,2,21708547,21708549,21708544,0,2,3
0x40f719,99.9998%,1,564115,564116,564111,0,1,4
0xa526fc,83.3333%,1,5,6,5,1,0,0
0x40d436,83.3333%,1,5,6,0,0,1,5
0xa522ca,99.7706%,1,435,436,435,1,0,0
0xa5138e,83.3333%,1,5,6,0,1,0,5
0x40d5b8,50%,1,1,2,1,1,0,0
0xa522f9,99.7706%,1,435,436,435,1,0,0
0x40d59e,50%,1,1,2,1,1,0,0
0x40d414,83.3333%,1,5,6,5,1,0,0
0xa51796,50%,1,1,2,1,1,0,0
0xa5224b,99.7642%,1,423,424,423,1,0,0
0xa52125,50%,1,1,2,1,1,0,0
0x40d601,50%,1,1,2,1,1,0,0
0xa5176f,50%,1,1,2,1,1,0,0
0xa516f0,50%,1,1,2,1,1,0,0
0xa516d4,50%,1,1,2,1,1,0,0
0xa5238f,50%,1,1,2,1,1,0,0
0xa52279,91.6667%,1,11,12,11,1,0,0
0xa513ab,100%,0,5,5,5,0,0,0
0x40f7b7,100%,0,282108,282108,0,0,0,282108
0x40e2b0,100%,0,4335,4335,4335,0,0,0
0x40e4a5,100%,0,4340,4340,4335,0,0,5
0x40f8ad,100%,0,25335,25335,25335,0,0,0
0x40e400,100%,0,4285,4285,165,0,0,4120
0xa52332,100%,0,4,4,0,0,0,4
0x40f56a,100%,0,5,5,0,0,0,5
0x40f8ca,100%,0,25335,25335,0,0,0,25335
0x40e294,100%,0,4335,4335,4335,0,0,0
0x40f59e,100%,0,5,5,5,0,0,0
0x40e2d1,100%,0,5,5,0,0,0,5
0x40e137,100%,0,5,5,0,0,0,5
0xa51752,100%,0,2,2,0,0,0,2
0x40e140,100%,0,5,5,0,0,0,5
0x40e1b9,100%,0,4285,4285,0,0,0,4285
0x40f5bd,100%,0,5,5,5,0,0,0
0x40f61d,100%,0,45,45,0,0,0,45
0x40e1e4,100%,0,4285,4285,4285,0,0,0
0x40e5a2,100%,0,5,5,0,0,0,5
0x40e50b,100%,0,5,5,5,0,0,0
0x40e383,100%,0,15,15,5,0,0,10
0x40e2c3,100%,0,5,5,0,0,0,5
0x40e409,100%,0,4120,4120,4120,0,0,0
0xa5233d,100%,0,4,4,0,0,0,4
0x40e3bb,100%,0,50,50,0,0,0,50
0x40e1c6,100%,0,4285,4285,165,0,0,4120
0x40e1d3,100%,0,4285,4285,0,0,0,4285
0xa51632,100%,0,5,5,0,0,0,5
0x40e212,100%,0,50,50,50,0,0,0
0x40d406,100%,0,436,436,0,0,0,436
0x40e17e,100%,0,165,165,0,0,0,165
0x40e167,100%,0,165,165,165,0,0,0
0xa52290,100%,0,764,764,0,0,0,764
0x40e249,100%,0,4285,4285,0,0,0,4285
0x40d19f,100%,0,4290,4290,5,0,0,4285
0x40d589,100%,0,2,2,0,0,0,2
0x40e3cb,100%,0,4285,4285,0,0,0,4285
0x40e3a4,100%,0,4335,4335,0,0,0,4335
0x40f5e8,100%,0,5,5,5,0,0,0
0x40e39f,100%,0,4335,4335,0,0,0,4335
0x40f5e3,100%,0,5,5,0,0,0,5
0xa5245a,100%,0,5,5,0,0,0,5
0x40f7c5,100%,0,21708550,21708550,0,0,0,21708550
0x40f56f,100%,0,5,5,5,0,0,0
0xa515d9,100%,0,5,5,0,0,0,5
0x40e115,100%,0,5,5,0,0,0,5
0x40e430,100%,0,4120,4120,0,0,0,4120
0x40f703,100%,0,846174,846174,282058,0,0,564116
0x40e11a,100%,0,5,5,5,0,0,0
0xa51737,100%,0,2,2,0,0,0,2
0x40d256,100%,0,5,5,5,0,0,0
0x40f60b,100%,0,5,5,5,0,0,0
0xa52408,100%,0,5,5,0,0,0,5
0xa52428,100%,0,5,5,0,0,0,5
0xa522bf,100%,0,436,436,0,0,0,436
0xa51671,100%,0,2,2,0,0,0,2
0x40d5ef,100%,0,2,2,0,0,0,2
0x40d59c,100%,0,2,2,0,0,0,2
0xa52283,100%,0,340,340,0,0,0,340
0x40d5e9,100%,0,2,2,0,0,0,2
0xa52238,100%,0,440,440,0,0,0,440
0xa522e7,100%,0,436,436,0,0,0,436
0x40d44a,100%,0,18,18,0,0,0,18
0x40d480,100%,0,6,6,0,0,0,6
0xa52341,100%,0,4,4,0,0,0,4
0xa52379,100%,0,84,84,0,0,0,84
0xa523f2,100%,0,2,2,0,0,0,2
0xa5172e,100%,0,2,2,0,0,0,2
0xa51374,100%,0,6,6,0,0,0,6
0x40f542,100%,0,282103,282103,0,0,0,282103
0x40e398,100%,0,10,10,10,0,0,0
0x40e3d1,100%,0,4285,4285,0,0,0,4285
0x40e1dc,100%,0,4285,4285,4120,0,0,165
0x40f791,100%,0,25335,25335,0,0,0,25335
0x40f7a0,100%,0,25335,25335,0,0,0,25335
0xa52685,100%,0,25326,25326,25326,0,0,0
0x40e582,100%,0,5,5,5,0,0,0
0x40e21d,100%,0,50,50,0,0,0,50
0x40f555,100%,0,282058,282058,0,0,0,282058
0x40d1fe,100%,0,5,5,5,0,0,0
0x40d197,100%,0,4290,4290,0,0,0,4290
0x40f514,100%,0,282108,282108,282108,0,0,0
0x40f532,100%,0,282103,282103,0,0,0,282103
0x40e2c8,100%,0,5,5,0,0,0,5
0xa52660,100%,0,25326,25326,0,0,0,25326
0x40d1a7,100%,0,4285,4285,4285,0,0,0
0x40f52d,100%,0,282108,282108,5,0,0,282103
0xa4c41f,100%,0,26225,26225,26225,0,0,0
0xa515f2,100%,0,5,5,5,0,0,0
0x40f53d,100%,0,282103,282103,0,0,0,282103
