Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,91.9445%,2617750,29878665,32496415,11893112,1595734,1022016,17985553
0x40638e,65.4027%,934174,1765965,2700139,617100,595412,338762,1148865
0x406fae,67.3791%,912882,1885577,2798459,591007,584165,328717,1294570
0x402453,95.8755%,256381,5959668,6216049,185107,129203,127178,5774561
0x408408,63.6638%,115593,202528,318121,20822,94522,21071,181706
0x40245a,98.319%,99210,5802529,5901739,51732,67253,31957,5750797
0x4084a2,74.303%,45174,130621,175795,107327,10321,34853,23294
0x406fe3,97.7718%,36170,1587117,1623287,1585459,487,35683,1658
0x4060f0,50.3175%,32394,32808,65202,16833,15827,16567,15975
0x407bb3,79.0386%,25295,95379,120674,7040,21988,3307,88339
0x404d9a,62.5478%,24314,40606,64920,24784,11176,13138,15822
0x4063b8,98.6823%,19603,1468024,1487627,1465861,629,18974,2163
0x405d49,73.3213%,17661,48538,66199,31601,5411,12250,16937
0x406337,98.8565%,14273,1233870,1248143,1233613,36,14237,257
0x405f60,81.9149%,11792,53411,65203,49571,2553,9239,3840
0x406101,67.0825%,10712,21830,32542,129,10506,206,21701
0x40612c,67.3913%,10650,22010,32660,16,10612,38,21994
0x405f4b,90.0798%,7239,65733,72972,636,7133,106,65097
0x405f9d,49.8586%,6558,6521,13079,3360,3214,3344,3161
0x406026,50.1109%,6525,6554,13079,3626,2955,3570,2928
0x40608e,50.3708%,6491,6588,13079,3371,3199,3292,3217
0x407c41,91.2157%,3389,35191,38580,32422,1354,2035,2769
0x40604b,62.9843%,2436,4145,6581,134,2200,236,4011
0x40602a,64.2044%,2326,4172,6498,29,2273,53,4143
0x405fca,65.0593%,2297,4277,6574,118,2064,233,4159
0x406097,65.7806%,2227,4281,6508,24,2193,34,4257
0x405fa1,65.8724%,2220,4285,6505,32,2165,55,4253
0x4060b2,66.9254%,2173,4397,6570,6,2159,14,4391
0x405cd5,97.1129%,1968,66198,68166,0,1967,1,66198
0x407bd8,98.0414%,1795,89851,91646,81911,183,1612,7940
0x405cb3,97.6793%,1582,66586,68168,1935,1313,269,64651
0x40842b,99.316%,1387,201390,202777,141545,781,606,59845
0x4074a9,98.9051%,799,72173,72972,67713,455,344,4460
0x4069a0,99.9967%,41,1248102,1248143,35619,12,29,1212483
0x407e81,99.996%,7,175788,175795,175788,7,0,0
0x4050ab,99.9927%,5,68163,68168,0,0,5,68163
0x4069b6,99.9998%,3,1212509,1212512,1212509,3,0,0
0x407601,99.9922%,3,38577,38580,38577,3,0,0
0x404ff1,99.9985%,1,68167,68168,0,0,1,68167
0x404fd8,100%,0,68168,68168,0,0,0,68168
0x4075f3,100%,0,38580,38580,0,0,0,38580
0x4074b4,100%,0,4804,4804,0,0,0,4804
0x407e73,100%,0,175795,175795,0,0,0,175795
0x407c53,100%,0,58147,58147,0,0,0,58147
0x406394,100%,0,1487627,1487627,1487627,0,0,0
0x4056c6,100%,0,68168,68168,68168,0,0,0
0x405009,100%,0,68168,68168,68168,0,0,0
0x406158,100%,0,72971,72971,72971,0,0,0
0x406358,100%,0,1233649,1233649,1233649,0,0,0
0x406fb0,100%,0,1623287,1623287,0,0,0,1623287
0x407010,100%,0,1175172,1175172,1175172,0,0,0
