Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.5409%,671,145477,146148,67760,475,196,77717
0x47e645,97.0093%,87,2822,2909,469,36,51,2353
0x47e641,98.855%,36,3108,3144,214,21,15,2894
0xa79c8a,62.963%,30,51,81,30,18,12,21
0xa79c2f,89.5131%,28,239,267,32,26,2,207
0xa7ae40,81.0526%,18,77,95,57,5,13,20
0x89deb6,99.9778%,13,58422,58435,58082,1,12,340
0xa79c88,86.3158%,13,82,95,5,9,4,77
0xa79c34,94.2584%,12,197,209,27,7,5,170
0xa6463b,88.2353%,12,90,102,39,9,3,51
0xa64628,90.7407%,10,98,108,0,6,4,98
0xa8aa06,75%,9,27,36,18,4,5,9
0xa61d3d,63.1579%,7,12,19,0,3,4,12
0x47e0a4,88.5246%,7,54,61,16,3,4,38
0xa67336,66.6667%,6,12,18,0,4,2,12
0xa79cd1,64.2857%,5,9,14,8,2,3,1
0xa67398,0%,4,0,4,0,3,1,0
0xa8caf8,63.6364%,4,7,11,2,1,3,5
0xa8cb0c,50%,4,4,8,1,2,2,3
0x43899c,99.2188%,4,508,512,0,0,4,508
0x89dfc0,98.8636%,4,348,352,348,2,2,0
0xa8aa5f,71.4286%,4,10,14,10,2,2,0
0xa67346,78.5714%,3,11,14,11,1,2,0
0x435808,99.4253%,3,519,522,304,2,1,215
0xa7a79a,57.1429%,3,4,7,3,2,1,1
0xa8cbeb,86.3636%,3,19,22,18,1,2,1
0xa79c62,98.2857%,3,172,175,171,1,2,1
0xa8cb20,60%,2,3,5,0,1,1,3
0xa5f547,94.4444%,2,34,36,0,0,2,34
0xa66ead,94.4444%,2,34,36,17,1,1,17
0xa5f50c,94.4444%,2,34,36,0,0,2,34
0x4d9a9e,88.8889%,2,16,18,16,1,1,0
0xa66d27,94.4444%,2,34,36,17,1,1,17
0xa79d10,50%,2,2,4,2,2,0,0
0xa646e4,66.6667%,2,4,6,1,2,0,3
0x48c8d8,60%,2,3,5,0,2,0,3
0x441e72,0%,1,0,1,0,1,0,0
0x4d7c75,0%,1,0,1,0,1,0,0
0x48c7f1,80%,1,4,5,0,0,1,4
0x4d9861,0%,1,0,1,0,1,0,0
0x8b9362,0%,1,0,1,0,1,0,0
0x8d42fd,66.6667%,1,2,3,2,0,1,0
0x88afbc,0%,1,0,1,0,1,0,0
0x888c66,0%,1,0,1,0,1,0,0
0x88943a,0%,1,0,1,0,1,0,0
0x4d9ca4,0%,1,0,1,0,1,0,0
0x88909d,0%,1,0,1,0,1,0,0
0x435822,99.537%,1,215,216,17,1,0,198
0x88a885,0%,1,0,1,0,1,0,0
0x477bfe,0%,1,0,1,0,1,0,0
0x4d7ed1,0%,1,0,1,0,1,0,0
0xa5bf94,97.2222%,1,35,36,35,1,0,0
0xa7a43a,50%,1,1,2,1,1,0,0
0x888d4d,0%,1,0,1,0,1,0,0
0x4da1a1,0%,1,0,1,0,1,0,0
0x4d968d,0%,1,0,1,0,1,0,0
0x47e0c4,94.7368%,1,18,19,18,1,0,0
0xa5bfc3,97.2222%,1,35,36,35,1,0,0
0x441fca,0%,1,0,1,0,1,0,0
0x889827,0%,1,0,1,0,1,0,0
0xa8cae4,91.6667%,1,11,12,0,1,0,11
0xa7a8ba,88.8889%,1,8,9,8,1,0,0
0x88995c,0%,1,0,1,0,1,0,0
0x4d9e51,0%,1,0,1,0,1,0,0
0x8890eb,0%,1,0,1,0,1,0,0
0x8899a9,0%,1,0,1,0,1,0,0
0xa64724,66.6667%,1,2,3,2,1,0,0
0x4d994b,0%,1,0,1,0,1,0,0
0x4785b9,0%,1,0,1,0,1,0,0
0x889874,0%,1,0,1,0,1,0,0
0x47856a,0%,1,0,1,0,1,0,0
0xa8cb34,75%,1,3,4,3,1,0,0
0xa8aa4b,92.8571%,1,13,14,0,0,1,13
0x4d7f27,0%,1,0,1,0,1,0,0
0x8894d4,0%,1,0,1,0,1,0,0
0x888d9a,0%,1,0,1,0,1,0,0
0x88a687,0%,1,0,1,0,1,0,0
0x88956e,0%,1,0,1,0,1,0,0
0x888de7,0%,1,0,1,0,1,0,0
0x4c6f9e,50%,1,1,2,1,1,0,0
0x8890c4,0%,1,0,1,0,1,0,0
0x889608,0%,1,0,1,0,1,0,0
0x888e81,0%,1,0,1,0,1,0,0
0x4d95ca,0%,1,0,1,0,1,0,0
0x888b32,0%,1,0,1,0,1,0,0
0x889655,0%,1,0,1,0,1,0,0
0x888d00,0%,1,0,1,0,1,0,0
0x888f1b,0%,1,0,1,0,1,0,0
0x888fb5,0%,1,0,1,0,1,0,0
0x88a5dd,0%,1,0,1,0,1,0,0
0x88904f,0%,1,0,1,0,1,0,0
0xa66c93,94.4444%,1,17,18,0,0,1,17
0x4da043,0%,1,0,1,0,1,0,0
0x889185,0%,1,0,1,0,1,0,0
0xa67350,50%,1,1,2,1,1,0,0
0x8896f1,0%,1,0,1,0,1,0,0
0x889718,0%,1,0,1,0,1,0,0
0x4c7080,50%,1,1,2,1,1,0,0
0x88973f,0%,1,0,1,0,1,0,0
0x441f20,0%,1,0,1,0,1,0,0
0x889d92,0%,1,0,1,0,1,0,0
0x4d9702,0%,1,0,1,0,1,0,0
0x441db9,0%,1,0,1,0,1,0,0
0x47875a,0%,1,0,1,0,1,0,0
0x889a90,0%,1,0,1,0,1,0,0
0x4d9f14,0%,1,0,1,0,1,0,0
0x4d963f,0%,1,0,1,0,1,0,0
0x4c70e7,50%,1,1,2,1,1,0,0
0xa5f52c,97.2222%,1,35,36,35,1,0,0
0x4d9924,0%,1,0,1,0,1,0,0
0xa673a0,0%,1,0,1,0,1,0,0
0x88a1c9,0%,1,0,1,0,1,0,0
0x441f85,0%,1,0,1,0,1,0,0
0x889add,0%,1,0,1,0,1,0,0
0x889002,0%,1,0,1,0,1,0,0
0xa738dc,0%,1,0,1,0,1,0,0
0x441ee1,0%,1,0,1,0,0,1,0
0x4d98fd,0%,1,0,1,0,1,0,0
0x888c19,0%,1,0,1,0,1,0,0
0x980487,0%,1,0,1,0,1,0,0
0x8893ed,0%,1,0,1,0,1,0,0
0x888cb3,0%,1,0,1,0,1,0,0
0x889138,0%,1,0,1,0,1,0,0
0x88967c,0%,1,0,1,0,1,0,0
0x88af69,0%,1,0,1,0,1,0,0
0xa5f4fb,97.2222%,1,35,36,35,1,0,0
0x889a43,0%,1,0,1,0,1,0,0
0xa8aaaf,50%,1,1,2,1,1,0,0
0x48cb0f,50%,1,1,2,1,1,0,0
0xa61f2f,66.6667%,1,2,3,2,1,0,0
0x441bce,0%,1,0,1,0,1,0,0
0x4d98af,0%,1,0,1,0,1,0,0
0xa5f550,97.2222%,1,35,36,0,0,1,35
0x889076,0%,1,0,1,0,1,0,0
0xa5f53b,97.2222%,1,35,36,0,0,1,35
0x4c6f5c,50%,1,1,2,1,1,0,0
0x4d957c,0%,1,0,1,0,1,0,0
0x4d7e51,0%,1,0,1,0,0,1,0
0x88b0d3,0%,1,0,1,0,1,0,0
0x436c17,99.8047%,1,511,512,0,0,1,511
0xa66f00,94.4444%,1,17,18,17,1,0,0
0x47e061,94.7368%,1,18,19,18,1,0,0
0x4da1c5,0%,1,0,1,0,1,0,0
0xa66e75,94.4444%,1,17,18,0,0,1,17
0x477d0d,0%,1,0,1,0,1,0,0
0xa67616,91.6667%,1,11,12,11,1,0,0
0xa66ec1,94.4444%,1,17,18,17,1,0,0
0x4da16c,0%,1,0,1,0,1,0,0
0xa66dd1,94.4444%,1,17,18,0,0,1,17
0xa66d35,94.4444%,1,17,18,17,1,0,0
0xa66d86,94.4444%,1,17,18,17,1,0,0
0xa5bf49,97.2222%,1,35,36,35,1,0,0
0x4d9c7d,0%,1,0,1,0,1,0,0
0x4d7ee9,0%,1,0,1,0,1,0,0
0x889487,0%,1,0,1,0,1,0,0
0xa8cba5,95.4545%,1,21,22,0,0,1,21
0x4d9d8e,0%,1,0,1,0,1,0,0
0xa66f40,94.4444%,1,17,18,17,1,0,0
0xa7aafa,90.9091%,1,10,11,10,1,0,0
0xa66f93,94.4444%,1,17,18,17,1,0,0
0x441e4a,0%,1,0,1,0,1,0,0
0x47e0af,97.619%,1,41,42,41,1,0,0
0xa5bfaf,97.2222%,1,35,36,35,1,0,0
0x4d9c08,0%,1,0,1,0,1,0,0
0x4d9be1,0%,1,0,1,0,1,0,0
0x889766,0%,1,0,1,0,1,0,0
0x88b2d4,0%,1,0,1,0,1,0,0
0x88aa55,0%,1,0,1,0,1,0,0
0xa5fb6c,97.2222%,1,35,36,35,1,0,0
0x4d7ca8,0%,1,0,1,0,1,0,0
0x4358bf,94.4444%,1,17,18,17,1,0,0
0x8896ca,0%,1,0,1,0,1,0,0
0x47e651,99.9584%,1,2403,2404,2403,1,0,0
0x435839,99.8016%,1,503,504,503,1,0,0
0x47b9ca,99.8645%,1,737,738,0,0,1,737
0x889521,0%,1,0,1,0,1,0,0
0x4d97c5,0%,1,0,1,0,1,0,0
0x889c5e,0%,1,0,1,0,1,0,0
0x888a98,0%,1,0,1,0,1,0,0
0xa7b138,94.4444%,1,17,18,0,0,1,17
0x43e5a2,0%,1,0,1,0,1,0,0
0x4da00b,0%,1,0,1,0,1,0,0
0x888ece,0%,1,0,1,0,1,0,0
0x4d9c2f,0%,1,0,1,0,1,0,0
0x889ffa,0%,1,0,1,0,1,0,0
0x43686f,94.4444%,1,17,18,0,0,1,17
0x88b8d2,0%,1,0,1,0,1,0,0
0x4d9888,0%,1,0,1,0,1,0,0
0x88a094,0%,1,0,1,0,1,0,0
0xa8cbb9,95.4545%,1,21,22,0,0,1,21
0x8896a3,0%,1,0,1,0,1,0,0
0x4787a9,0%,1,0,1,0,1,0,0
0x94ca73,94.4444%,1,17,18,0,0,1,17
0x8897da,0%,1,0,1,0,1,0,0
0x88a632,0%,1,0,1,0,1,0,0
0x477d8a,0%,1,0,1,0,1,0,0
0x441efc,0%,1,0,1,0,1,0,0
0x888a4b,0%,1,0,1,0,1,0,0
0x88a12f,0%,1,0,1,0,1,0,0
0x888bcc,0%,1,0,1,0,1,0,0
0x8893a0,0%,1,0,1,0,1,0,0
0x4d9ddc,0%,1,0,1,0,1,0,0
0x88a271,0%,1,0,1,0,0,1,0
0xa66f7b,94.4444%,1,17,18,17,1,0,0
0xa5d9ed,97.2222%,1,35,36,35,1,0,0
0xa5f4e7,97.2222%,1,35,36,0,0,1,35
0x889b2a,0%,1,0,1,0,1,0,0
0x4d9813,0%,1,0,1,0,1,0,0
0x88ab74,0%,1,0,1,0,1,0,0
0x48ca28,66.6667%,1,2,3,0,0,1,2
0x4c6f7d,50%,1,1,2,1,1,0,0
0xa66c4f,97.2222%,1,35,36,17,1,0,18
0xa673b7,66.6667%,1,2,3,2,1,0,0
0x888b7f,0%,1,0,1,0,1,0,0
0x4da076,0%,1,0,1,0,1,0,0
0x4da0a1,0%,1,0,1,0,1,0,0
0x88a731,0%,1,0,1,0,1,0,0
0x889353,0%,1,0,1,0,1,0,0
0x4d9a3f,94.4444%,1,17,18,17,1,0,0
0x8895bb,0%,1,0,1,0,1,0,0
0x888ae5,0%,1,0,1,0,1,0,0
0x8892b9,0%,1,0,1,0,1,0,0
0x889306,0%,1,0,1,0,1,0,0
0x4d9d40,0%,1,0,1,0,1,0,0
0x88921f,0%,1,0,1,0,1,0,0
0x88bbaa,0%,1,0,1,0,1,0,0
0x4d9f89,0%,1,0,1,0,1,0,0
0x4d96db,0%,1,0,1,0,1,0,0
0x4d9e78,0%,1,0,1,0,1,0,0
0x4d9e9f,0%,1,0,1,0,1,0,0
0x4d9eed,0%,1,0,1,0,1,0,0
0x489490,50%,1,1,2,1,1,0,0
0x88b0ac,0%,1,0,1,0,1,0,0
0x4d9f62,0%,1,0,1,0,1,0,0
0xa7a800,50%,1,1,2,1,1,0,0
0x4d9e2a,0%,1,0,1,0,1,0,0
0x4d9fb0,0%,1,0,1,0,1,0,0
0x4d9fda,0%,1,0,1,0,1,0,0
0xa7a67a,85.7143%,1,6,7,6,1,0,0
0x88a92f,0%,1,0,1,0,1,0,0
0x48cafa,66.6667%,1,2,3,0,1,0,2
0x4d7e58,0%,1,0,1,0,1,0,0
0xa7ac1a,93.75%,1,15,16,15,1,0,0
0x88ad15,0%,1,0,1,0,1,0,0
0x88b196,0%,1,0,1,0,1,0,0
0x88aa7c,0%,1,0,1,0,1,0,0
0x4d7da4,0%,1,0,1,0,1,0,0
0x88adbf,0%,1,0,1,0,1,0,0
0x4d9ccb,0%,1,0,1,0,1,0,0
0x4d7de0,0%,1,0,1,0,1,0,0
0x4d7b8f,0%,1,0,1,0,1,0,0
0x4d9cf2,0%,1,0,1,0,1,0,0
0x4da0d6,0%,1,0,1,0,1,0,0
0x4d7f70,0%,1,0,1,0,1,0,0
0x4d9d19,0%,1,0,1,0,1,0,0
0x4d9d67,0%,1,0,1,0,1,0,0
0x88b16f,0%,1,0,1,0,1,0,0
0x4d7ae3,0%,1,0,1,0,1,0,0
0x88b148,0%,1,0,1,0,1,0,0
0x4d9db5,0%,1,0,1,0,1,0,0
0x4d9e03,0%,1,0,1,0,1,0,0
0x4c6fcf,50%,1,1,2,1,1,0,0
0x4d8084,0%,1,0,1,0,1,0,0
0x88a9d9,0%,1,0,1,0,1,0,0
0x88a984,0%,1,0,1,0,1,0,0
0xa7ad3a,87.5%,1,7,8,7,1,0,0
0x88a830,0%,1,0,1,0,1,0,0
0x4d7efb,0%,1,0,1,0,1,0,0
0x88af16,0%,1,0,1,0,1,0,0
0x88a588,0%,1,0,1,0,1,0,0
0x88a533,0%,1,0,1,0,1,0,0
0x4d803f,0%,1,0,1,0,1,0,0
0xa7a31a,50%,1,1,2,1,1,0,0
0x88a38f,0%,1,0,1,0,1,0,0
0x88a3e4,0%,1,0,1,0,1,0,0
0x88a489,0%,1,0,1,0,1,0,0
0x437184,0%,1,0,1,0,1,0,0
0x48c9fe,66.6667%,1,2,3,0,0,1,2
0x88b9c2,0%,1,0,1,0,1,0,0
0x88b1bd,0%,1,0,1,0,1,0,0
0xa7a9da,88.8889%,1,8,9,8,1,0,0
0x88acc8,0%,1,0,1,0,1,0,0
0x48c6f5,80%,1,4,5,0,0,1,4
0xa7a55a,90%,1,9,10,9,1,0,0
0x4d7e1c,0%,1,0,1,0,1,0,0
0x4d7e82,0%,1,0,1,0,1,0,0
0x88ac73,0%,1,0,1,0,1,0,0
0x48cad0,66.6667%,1,2,3,0,0,1,2
0x88abc9,0%,1,0,1,0,1,0,0
0x4da10b,0%,1,0,1,0,1,0,0
0x4d7ea4,0%,1,0,1,0,1,0,0
0x88ab1f,0%,1,0,1,0,1,0,0
0x89dffc,50%,1,1,2,1,1,0,0
0x4d7fb5,0%,1,0,1,0,1,0,0
0x88bd2f,0%,1,0,1,0,1,0,0
0x483adc,0%,1,0,1,0,0,1,0
0x88aa2e,0%,1,0,1,0,1,0,0
0x4d95f1,0%,1,0,1,0,1,0,0
0x4d979e,0%,1,0,1,0,1,0,0
0x4d98d6,0%,1,0,1,0,1,0,0
0x88b792,0%,1,0,1,0,1,0,0
0x4d7ce7,0%,1,0,1,0,1,0,0
0x88b73a,0%,1,0,1,0,1,0,0
0x4d97ec,0%,1,0,1,0,1,0,0
0x483b76,0%,1,0,1,0,1,0,0
0x43e53b,0%,1,0,1,0,1,0,0
0x88b5da,0%,1,0,1,0,1,0,0
0x4d7be2,0%,1,0,1,0,1,0,0
0x8898c1,0%,1,0,1,0,1,0,0
0x4d9777,0%,1,0,1,0,1,0,0
