Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.8201%,87401,48503602,48591003,12891883,33908,53493,35611719
0x64cc86,99.7716%,12673,5536713,5549386,5536053,283,12390,660
0x638ed8,99.6012%,11479,2867052,2878531,2485108,4462,7017,381944
0x7b358e,89.7834%,10542,92643,103185,86642,1895,8647,6001
0x64d0d3,98.7688%,6382,511980,518362,265688,3181,3201,246292
0x64cc75,99.891%,6054,5549612,5555666,294,5986,68,5549318
0x406ce1,92.9643%,4389,57993,62382,28490,1411,2978,29503
0x406c31,91.3585%,3379,35723,39102,27890,1386,1993,7833
0x7b3597,85.5475%,2117,12531,14648,7213,867,1250,5318
0x406b67,81.9285%,2026,9185,11211,8462,548,1478,723
0x7b1cd3,81.517%,1964,8662,10626,335,1519,445,8327
0x638eec,99.5712%,1668,387293,388961,370644,193,1475,16649
0x64cec8,79.9207%,1620,6448,8068,4256,740,880,2192
0x7b347d,89.5003%,1538,13110,14648,6690,910,628,6420
0x64d0f2,99.4436%,1496,267373,268869,11456,796,700,255917
0x7b320a,92.8694%,1456,18963,20419,11858,1030,426,7105
0x638ecb,99.9549%,1298,2878515,2879813,2,1281,17,2878513
0x638d03,93.1086%,1200,16213,17413,16101,29,1171,112
0x7b321b,86.8676%,989,6542,7531,5738,262,727,804
0x406c06,99.0448%,956,99126,100082,89134,421,535,9992
0x7b1ca1,93.0294%,870,11611,12481,1240,615,255,10371
0x406c39,93.4261%,737,10474,11211,856,573,164,9618
0x7b32e4,95.0939%,666,12909,13575,12776,99,567,133
0x7b303a,95.9413%,617,14585,15202,3103,267,350,11482
0x7b327b,91.55%,507,5493,6000,1241,248,259,4252
0x406d92,96.7302%,470,13904,14374,13898,11,459,6
0x406c0b,95.9772%,451,10760,11211,1126,259,192,9634
0x7b3251,70.4636%,446,1064,1510,437,263,183,627
0x7b377e,94.3645%,415,6949,7364,6930,50,365,19
0x7b3806,94.856%,409,7542,7951,1244,250,159,6298
0x7b3496,94.4949%,388,6660,7048,6143,167,221,517
0x7b31b5,98.7693%,365,29292,29657,7927,275,90,21365
0x7b1d08,97.2358%,345,12136,12481,2098,193,152,10038
0x7b3236,88.9404%,334,2686,3020,1867,142,192,819
0x7b3774,96.349%,295,7785,8080,521,195,100,7264
0x7b32e6,64.4286%,249,451,700,325,103,146,126
0x64e273,97.8582%,229,10463,10692,10317,41,188,146
0x7b2fc5,99.1399%,197,22708,22905,10466,102,95,12242
0x7b3610,96.7577%,190,5670,5860,4920,88,102,750
0x7b1b7f,99.2624%,169,22742,22911,12976,83,86,9766
0x64a748,99.8875%,160,142106,142266,36745,66,94,105361
0x4ab909,98.8749%,147,12919,13066,12745,21,126,174
0x64a793,99.9769%,144,621907,622051,52951,82,62,568956
0x4a76b9,98.9109%,140,12715,12855,12690,14,126,25
0x7b337d,86.234%,140,877,1017,27,133,7,850
0x7b361a,84.0376%,136,716,852,705,25,111,11
0x7b13d8,99.7699%,135,58545,58680,7574,83,52,50971
0x678c33,99.955%,125,277627,277752,37384,46,79,240243
0x5ea1d4,93.5519%,120,1741,1861,1675,27,93,66
0x638f7a,99.3599%,116,18007,18123,16571,47,69,1436
0x7b3354,90.1554%,114,1044,1158,36,105,9,1008
0x7b1af5,99.6864%,111,35281,35392,12425,56,55,22856
0x7b1490,99.025%,103,10461,10564,10394,37,66,67
0x406b4d,99.7022%,101,33809,33910,22643,56,45,11166
0x406b91,99.1348%,97,11114,11211,628,56,41,10486
0x7b2fa5,99.7515%,83,33324,33407,10464,38,45,22860
0x64ced9,97.2982%,83,2989,3072,2593,45,38,396
0x7b1469,99.2522%,79,10485,10564,7620,37,42,2865
0x678c38,99.9696%,73,240249,240322,54264,36,37,185985
0x7d2236,98.8526%,72,6203,6275,5798,58,14,405
0x64ccea,99.6351%,71,19388,19459,6742,31,40,12646
0x7b363a,64.7959%,69,127,196,34,40,29,93
0x64a777,99.8701%,69,53067,53136,73,30,39,52994
0x7b329d,98.5369%,66,4445,4511,479,20,46,3966
0x64cf6f,85.023%,65,369,434,357,16,49,12
0x7b37f9,99.2328%,61,7890,7951,5708,28,33,2182
0x64cbce,99.6507%,61,17404,17465,10660,32,29,6744
0x7b3020,99.7247%,58,21012,21070,5838,30,28,15174
0x4996c7,99.8711%,48,37194,37242,19638,25,23,17556
0x7b1cdc,99.5212%,42,8730,8772,1,37,5,8729
0x7b3446,99.5123%,40,8162,8202,5840,20,20,2322
0x4ab7f9,92.2929%,40,479,519,195,23,17,284
0x5a1401,99.9508%,40,81246,81286,29014,9,31,52232
0x7b151b,99.9318%,40,58640,58680,52801,11,29,5839
0x678c13,99.9858%,39,273647,273686,35346,11,28,238301
0x66db99,98.6805%,37,2767,2804,1771,19,18,996
0x538db4,87.8788%,36,261,297,226,19,17,35
0x4dbff5,90.6736%,36,350,386,225,13,23,125
0x649a4c,99.7965%,36,17658,17694,1272,22,14,16386
0x678c20,99.9853%,35,238294,238329,52293,14,21,186001
0x64cebb,99.8327%,34,20286,20320,12237,15,19,8049
0x64a0b9,93.0041%,34,452,486,289,16,18,163
0x64cd2f,99.8253%,34,19425,19459,13646,18,16,5779
0x4ab8e0,99.7474%,33,13033,13066,13033,4,29,0
0x7b34af,95.5285%,33,705,738,620,14,19,85
0x7b31e7,99.8462%,33,21422,21455,17705,19,14,3717
0x7b14c3,75.9398%,32,101,133,19,21,11,82
0x45f909,96.9136%,30,942,972,940,8,22,2
0x7b31fd,99.8581%,29,20409,20438,0,19,10,20409
0x5d0c0a,99.8047%,29,14819,14848,14819,0,29,0
0x64cc51,99.8561%,28,19431,19459,100,25,3,19331
0x7b14cc,69.8925%,28,65,93,43,16,12,22
0x64cc9d,99.7875%,28,13147,13175,3414,17,11,9733
0x54afc8,87.1429%,27,183,210,65,14,13,118
0x4069f0,99.539%,27,5830,5857,467,13,14,5363
0x498459,99.949%,26,50946,50972,23452,15,11,27494
0x64ccb7,99.7332%,26,9718,9744,2885,15,11,6833
0x45bdbf,82.4324%,26,122,148,81,15,11,41
0x45f97f,95.3959%,25,518,543,363,9,16,155
0x7b17e1,57.6271%,25,34,59,6,13,12,28
0x4a76ad,99.8138%,24,12867,12891,16,20,4,12851
0x7b31ec,99.3567%,24,3707,3731,3274,12,12,433
0x45b74f,78.7037%,23,85,108,20,10,13,65
0x64cca3,99.764%,23,9721,9744,3426,16,7,6295
0x649a90,99.872%,21,16379,16400,10706,15,6,5673
0x7b1c4a,99.8317%,21,12460,12481,12458,5,16,2
0x66dbd4,98.0276%,20,994,1014,506,8,12,488
0x66dbe3,96.2%,19,481,500,335,8,11,146
0x7b3645,85.2459%,18,104,122,47,7,11,57
0x617d49,96.5251%,18,500,518,345,8,10,155
0x4a7249,96.2555%,17,437,454,280,9,8,157
0x64a7a7,99.997%,17,569001,569018,569001,17,0,0
0x66dbb9,99.4834%,17,3274,3291,2270,7,10,1004
0x7b3347,99.4827%,17,3269,3286,2121,7,10,1148
0x4a6fd9,89.697%,17,148,165,106,6,11,42
0x7b3788,99.7896%,17,8063,8080,7943,8,9,120
0x49852d,99.8848%,16,13870,13886,7056,6,10,6814
0x4ab766,98.4909%,15,979,994,979,15,0,0
0x499719,99.9153%,15,17703,17718,18,12,3,17685
0x7b364e,77.9412%,15,53,68,36,7,8,17
0x674e57,99.6228%,14,3698,3712,3680,3,11,18
0x406d73,97.0833%,14,466,480,2,13,1,464
0x406b22,99.9617%,13,33897,33910,0,0,13,33897
0x64d0fb,99.9974%,13,506097,506110,506097,13,0,0
0x4602f1,97.6364%,13,537,550,193,9,4,344
0x4ad6cc,96.1194%,13,322,335,115,9,4,207
0x649a20,99.949%,12,23539,23551,17688,6,6,5851
0x48c463,76%,12,38,50,22,8,4,16
0x498413,99.9877%,12,97943,97955,46977,6,6,50966
0x6ee3e3,99.9689%,11,35380,35391,0,0,11,35380
0x64cc64,99.9998%,11,5555659,5555670,0,0,11,5555659
0x5f7b79,95.6863%,11,244,255,242,5,6,2
0x7b2f7a,99.9671%,11,33396,33407,0,0,11,33396
0x5dfb81,99.9816%,10,54278,54288,0,0,10,54278
0x406c5a,99.9692%,10,32471,32481,32471,10,0,0
0x5ea649,94.2857%,10,165,175,157,2,8,8
0x7b14de,99.9053%,10,10554,10564,13,6,4,10541
0x4a80b9,95.6897%,10,222,232,214,2,8,8
0x638a02,99.9426%,10,17403,17413,0,0,10,17403
0x64cc6f,99.9998%,10,5555660,5555670,0,4,6,5555660
0x4069c3,99.9749%,10,39757,39767,0,0,10,39757
0x638a3f,99.9426%,10,17403,17413,0,0,10,17403
0x644827,99.9612%,9,23193,23202,23193,9,0,0
0x64cea7,99.9557%,9,20311,20320,0,0,9,20311
0x406cbf,99.9723%,9,32472,32481,0,0,9,32472
0x406e27,99.9723%,9,32539,32548,0,0,9,32539
0x492791,74.2857%,9,26,35,24,6,3,2
0x48c6d1,88.6076%,9,70,79,66,6,3,4
0x4b5a08,99.9224%,9,11586,11595,0,9,0,11586
0x4a7508,83.3333%,9,45,54,33,5,4,12
0x4157a8,96.1207%,9,223,232,214,2,7,9
0x406b5a,99.9197%,9,11202,11211,0,0,9,11202
0x638c24,99.9541%,8,17405,17413,0,0,8,17405
0x638a10,99.9541%,8,17405,17413,17405,8,0,0
0x64a764,99.9924%,8,105447,105455,52317,2,6,53130
0x4069e7,99.9799%,8,39759,39767,33903,7,1,5856
0x7b369b,93.4426%,8,114,122,4,5,3,110
0x64d0c3,99.9985%,8,518354,518362,0,0,8,518354
0x4a75c5,95.2941%,8,162,170,0,5,3,162
0x649ecd,99.9569%,8,18567,18575,11813,7,1,6754
0x4a85b0,95.8333%,8,184,192,183,1,7,1
0x7bd972,96.5517%,8,224,232,196,7,1,28
0x5a12f2,99.9862%,8,58150,58158,46489,7,1,11661
0x45c8cf,85.1852%,8,46,54,1,3,5,45
0x4a73b7,95.1807%,8,158,166,47,7,1,111
0x7b5753,99.9802%,7,35385,35392,0,0,7,35385
0x5ea774,95.5975%,7,152,159,23,5,2,129
0x406acf,99.9794%,7,33903,33910,33903,7,0,0
0x5d8f9c,70.8333%,7,17,24,4,2,5,13
0x7b373b,99.9134%,7,8073,8080,0,0,7,8073
0x547d3a,96.9828%,7,225,232,215,1,6,10
0x549939,61.1111%,7,11,18,10,4,3,1
0x644b28,99.9698%,7,23195,23202,0,0,7,23195
0x4b59b0,99.9396%,7,11588,11595,5795,2,5,5793
0x46167b,75%,7,21,28,7,2,5,14
0x7b50eb,99.982%,6,33401,33407,33401,6,0,0
0x5a15af,99.9125%,6,6850,6856,0,0,6,6850
0x45b761,92.3077%,6,72,78,54,0,6,18
0x7b5113,99.982%,6,33401,33407,0,0,6,33401
0x490d4c,60%,6,9,15,9,1,5,0
0x5a142f,99.9885%,6,52257,52263,23205,3,3,29052
0x550b32,99.9484%,6,11616,11622,5821,6,0,5795
0x7b1ba9,99.9738%,6,22905,22911,0,0,6,22905
0x5ea014,89.0909%,6,49,55,0,3,3,49
0x45c899,88.4615%,6,46,52,0,0,6,46
0x638cd1,99.9655%,6,17407,17413,17407,6,0,0
0x7b50c3,99.982%,6,33401,33407,0,0,6,33401
0x638c08,99.9655%,6,17407,17413,0,0,6,17407
0x490a36,60%,6,9,15,7,3,3,2
0x7b50fc,99.982%,6,33401,33407,0,0,6,33401
0x490953,60%,6,9,15,5,5,1,4
0x48942a,99.8967%,6,5801,5807,7,5,1,5794
0x64466b,99.9785%,5,23197,23202,0,0,5,23197
0x644873,99.9785%,5,23197,23202,0,0,5,23197
0x4068b4,99.9695%,5,16395,16400,16395,5,0,0
0x4e844a,37.5%,5,3,8,1,3,2,2
0x460287,99.5108%,5,1017,1022,294,1,4,723
0x486136,99.9569%,5,11589,11594,0,0,5,11589
0x48ea16,96.9697%,5,160,165,156,1,4,4
0x5a15a3,99.9271%,5,6851,6856,0,0,5,6851
0x45c71f,90.3846%,5,47,52,24,1,4,23
0x7b1ae5,99.9859%,5,35387,35392,0,0,5,35387
0x7b1b07,99.9782%,5,22906,22911,0,0,5,22906
0x550458,99.9137%,5,5790,5795,0,0,5,5790
0x7b31a8,99.9755%,5,20414,20419,0,0,5,20414
0x5e995e,90.9091%,5,50,55,50,2,3,0
0x490aab,66.6667%,5,10,15,3,2,3,7
0x4a7069,96.9697%,5,160,165,148,1,4,12
0x60c35a,58.3333%,5,7,12,0,3,2,7
0x48611e,99.9569%,5,11589,11594,0,0,5,11589
0x5ec0af,97.3404%,5,183,188,167,1,4,16
0x7b1b2a,99.9782%,5,22906,22911,0,0,5,22906
0x644a72,99.9785%,5,23197,23202,0,0,5,23197
0x415788,94.7917%,5,91,96,79,1,4,12
0x7b375f,99.9381%,5,8075,8080,0,0,5,8075
0x66db68,99.5108%,5,1017,1022,6,2,3,1011
0x638bd7,99.9713%,5,17408,17413,17408,5,0,0
0x4a97b3,58.3333%,5,7,12,1,2,3,6
0x64df8b,99.9532%,5,10687,10692,0,0,5,10687
0x7b5743,99.9859%,5,35387,35392,0,0,5,35387
0x7b37dc,99.9371%,5,7946,7951,0,0,5,7946
0x64a754,99.9953%,5,105450,105455,52316,3,2,53134
0x63906e,99.9742%,5,19401,19406,0,0,5,19401
0x64d1e7,99.9674%,4,12248,12252,0,0,4,12248
0x7b1ad3,99.9887%,4,35388,35392,0,0,4,35388
0x7b573a,99.9887%,4,35388,35392,0,0,4,35388
0x49c6e6,99.9656%,4,11618,11622,11618,4,0,0
0x5e99f6,92.7273%,4,51,55,0,0,4,51
0x5a09ea,99.9656%,4,11618,11622,0,0,4,11618
0x494945,60%,4,6,10,0,3,1,6
0x638e18,99.9794%,4,19402,19406,0,0,4,19402
0x7b1b57,99.9825%,4,22907,22911,0,0,4,22907
0x5e4c41,50%,4,4,8,4,4,0,0
0x5a101a,99.9924%,4,52315,52319,0,0,4,52315
0x487b9b,88.2353%,4,30,34,6,3,1,24
0x498340,99.9886%,4,35182,35186,35182,4,0,0
0x4aa06f,55.5556%,4,5,9,5,4,0,0
0x644b07,99.9828%,4,23198,23202,0,0,4,23198
0x7b304e,99.9662%,4,11828,11832,0,0,4,11828
0x5dc81a,99.9926%,4,54284,54288,0,0,4,54284
0x7b14b1,96.9925%,4,129,133,0,0,4,129
0x415c5a,97.8378%,4,181,185,169,0,4,12
0x618c47,97.861%,4,183,187,183,4,0,0
0x7b511c,99.988%,4,33403,33407,33403,4,0,0
0x460341,50%,4,4,8,2,1,3,2
0x4927bb,50%,4,4,8,1,2,2,3
0x4927ee,88.5714%,4,31,35,29,1,3,2
0x5a0973,99.9805%,4,20504,20508,0,0,4,20504
0x4a71fe,94.8718%,4,74,78,53,1,3,21
0x48fc26,50%,4,4,8,0,0,4,4
0x48cdbf,0%,4,0,4,0,3,1,0
0x6499f7,99.983%,4,23547,23551,23547,4,0,0
0x48fc43,50%,4,4,8,3,2,2,1
0x7b3586,99.9955%,4,88533,88537,0,0,4,88533
0x49972f,99.9774%,4,17684,17688,0,0,4,17684
0x7b1bd2,99.968%,4,12477,12481,0,0,4,12477
0x5e2b85,99.9943%,4,69691,69695,0,0,4,69691
0x550af9,99.9828%,4,23240,23244,11621,1,3,11619
0x48c7ea,94.9367%,4,75,79,71,0,4,4
0x490c54,20%,4,1,5,1,4,0,0
0x7b2fd7,99.9676%,4,12333,12337,12333,4,0,0
0x5d8eff,91.4894%,4,43,47,24,1,3,19
0x7b35dd,99.9676%,4,12333,12337,12333,4,0,0
0x49095e,73.3333%,4,11,15,10,0,4,1
0x550434,99.9771%,4,17445,17449,11650,4,0,5795
0x7b1cf3,99.968%,4,12477,12481,0,0,4,12477
0x644b1b,99.9828%,4,23198,23202,0,0,4,23198
0x64e147,99.9626%,4,10688,10692,10688,4,0,0
0x66f364,99.3939%,3,492,495,492,3,0,0
0x5a15e5,99.9562%,3,6853,6856,29,3,0,6824
0x649e85,99.9838%,3,18572,18575,0,0,3,18572
0x460aab,0%,3,0,3,0,3,0,0
0x7b1b39,99.9869%,3,22908,22911,22908,3,0,0
0x4b5adc,99.9741%,3,11583,11586,0,0,3,11583
0x676e00,92.5%,3,37,40,31,1,2,6
0x6390bc,99.9845%,3,19403,19406,18120,3,0,1283
0x644662,99.9871%,3,23199,23202,0,0,3,23199
0x45c72d,88.8889%,3,24,27,23,3,0,1
0x5a0991,99.9854%,3,20505,20508,13614,1,2,6891
0x45fa28,87.5%,3,21,24,21,3,0,0
0x4a73d8,97.6%,3,122,125,111,1,2,11
0x5ec091,98.6957%,3,227,230,0,0,3,227
0x4867a6,99.9896%,3,28981,28984,0,0,3,28981
0x64a76f,99.9972%,3,105452,105455,52316,3,0,53136
0x5a12c8,99.9943%,3,52336,52339,29052,3,0,23284
0x4ab8a3,99.1098%,3,334,337,34,3,0,300
0x490a86,70%,3,7,10,7,3,0,0
0x644858,99.9871%,3,23199,23202,0,0,3,23199
0x489103,99.9742%,3,11619,11622,5792,3,0,5827
0x4908e7,80%,3,12,15,8,2,1,4
0x45bc8e,94.3396%,3,50,53,0,1,2,50
0x7b512b,99.991%,3,33404,33407,0,0,3,33404
0x4946cd,57.1429%,3,4,7,4,3,0,0
0x64d063,99.9764%,3,12683,12686,0,0,3,12683
0x649f1e,80%,3,12,15,12,3,0,0
0x67447a,89.6552%,3,26,29,26,3,0,0
0x4e84b7,25%,3,1,4,0,2,1,1
0x487b79,95.7143%,3,67,70,36,0,3,31
0x4b5a8f,99.9741%,3,11583,11586,0,0,3,11583
0x7b30b4,98.1132%,3,156,159,0,0,3,156
0x4e8fc9,25%,3,1,4,1,3,0,0
0x4e9130,50%,3,3,6,1,2,1,2
0x5486b1,99.9742%,3,11619,11622,5795,0,3,5824
0x7b3755,99.9629%,3,8077,8080,0,0,3,8077
0x64cc6a,99.9999%,3,5555667,5555670,0,0,3,5555667
0x7b1c81,83.3333%,3,15,18,0,2,1,15
0x49470e,57.1429%,3,4,7,0,0,3,4
0x644bbc,99.9871%,3,23199,23202,23199,3,0,0
0x4996a8,99.9919%,3,37239,37242,0,0,3,37239
0x7b31c9,99.986%,3,21452,21455,0,0,3,21452
0x549929,83.3333%,3,15,18,13,1,2,2
0x617e90,98.1818%,3,162,165,0,0,3,162
0x486142,99.9741%,3,11591,11594,0,0,3,11591
0x7b30a3,99.9489%,3,5865,5868,5708,1,2,157
0x4862dc,62.5%,3,5,8,5,3,0,0
0x638c9f,99.9828%,3,17410,17413,17410,3,0,0
0x7b4231,99.957%,3,6977,6980,0,0,3,6977
0x7b1add,99.9915%,3,35389,35392,0,0,3,35389
0x644c9c,99.9871%,3,23199,23202,23199,3,0,0
0x406ab1,99.9442%,3,5374,5377,0,0,3,5374
0x7b2027,99.976%,3,12478,12481,12478,3,0,0
0x64e194,99.9719%,3,10689,10692,0,0,3,10689
0x638e27,99.9845%,3,19403,19406,0,0,3,19403
0x4a7270,99.3392%,3,451,454,287,2,1,164
0x48612d,99.9741%,3,11591,11594,0,0,3,11591
0x6390d3,99.7662%,3,1280,1283,0,0,3,1280
0x5a1353,99.9935%,3,46493,46496,23209,3,0,23284
0x7b307d,99.9907%,3,32387,32390,0,0,3,32387
0x5a13c7,99.9914%,3,34871,34874,34871,3,0,0
0x5a09b4,99.9742%,3,11619,11622,0,0,3,11619
0x68d5e5,66.6667%,3,6,9,6,3,0,0
0x7b1b9f,99.9869%,3,22908,22911,22908,3,0,0
0x5dc984,99.9741%,3,11591,11594,0,0,3,11591
0x7b1b18,99.9869%,3,22908,22911,0,0,3,22908
0x46029b,99.5696%,3,694,697,0,0,3,694
0x644b38,99.9871%,3,23199,23202,0,0,3,23199
0x490ab4,80%,3,12,15,7,3,0,5
0x4867ed,99.9896%,3,28981,28984,28981,3,0,0
0x644670,99.9871%,3,23199,23202,23199,3,0,0
0x494864,70%,3,7,10,7,3,0,0
0x64e178,99.9719%,3,10689,10692,0,0,3,10689
0x7ac01b,89.6552%,3,26,29,0,0,3,26
0x5ea6c8,81.25%,3,13,16,4,1,2,9
0x5a1462,99.9897%,3,29020,29023,0,0,3,29020
0x494813,85.7143%,3,18,21,13,1,2,5
0x486814,99.9931%,2,28982,28984,0,0,2,28982
0x7b1ac9,99.9943%,2,35390,35392,0,0,2,35390
0x60c223,83.3333%,2,10,12,10,2,0,0
0x54dff7,99.9917%,2,24236,24238,0,0,2,24236
0x49c4af,99.9828%,2,11620,11622,11620,2,0,0
0x4e8bf5,66.6667%,2,4,6,0,1,1,4
0x4e8c0f,66.6667%,2,4,6,4,0,2,0
0x4b5b21,99.9827%,2,11584,11586,0,0,2,11584
0x4e846f,0%,2,0,2,0,1,1,0
0x7b3489,99.9716%,2,7046,7048,0,0,2,7046
0x406947,99.9878%,2,16398,16400,0,0,2,16398
0x4e8e9b,33.3333%,2,1,3,1,1,1,0
0x4e9084,50%,2,2,4,2,1,1,0
0x490a74,60%,2,3,5,3,2,0,0
0x5ec0c3,90%,2,18,20,18,2,0,0
0x486804,99.9931%,2,28982,28984,28982,2,0,0
0x4a7f89,75%,2,6,8,6,2,0,0
0x4a77f5,94.4444%,2,34,36,16,1,1,18
0x4867d1,99.9931%,2,28982,28984,28982,2,0,0
0x4e8464,50%,2,2,4,0,1,1,2
0x64e20f,99.9813%,2,10690,10692,10690,2,0,0
0x60c11c,83.3333%,2,10,12,2,1,1,8
0x4e90e7,75%,2,6,8,5,2,0,1
0x7b25f3,99.984%,2,12479,12481,12479,2,0,0
0x5ec234,75%,2,6,8,6,2,0,0
0x64990d,90.4762%,2,19,21,19,2,0,0
0x4a75dd,98.8235%,2,168,170,0,0,2,168
0x674d84,96.5517%,2,56,58,27,2,0,29
0x5ea4f2,75%,2,6,8,6,2,0,0
0x538df6,96.6667%,2,58,60,51,1,1,7
0x5a146b,99.9962%,2,52229,52231,52229,2,0,0
0x66f3e1,99.596%,2,493,495,163,2,0,330
0x7b200e,99.984%,2,12479,12481,0,0,2,12479
0x5a1ff9,99.9914%,2,23375,23377,0,0,2,23375
0x49274b,60%,2,3,5,3,2,0,0
0x4e8bb0,50%,2,2,4,0,1,1,2
0x4e846a,33.3333%,2,1,3,0,1,1,1
0x4b5a47,99.9827%,2,11584,11586,0,0,2,11584
0x4a7577,98.8235%,2,168,170,168,2,0,0
0x490941,90%,2,18,20,3,2,0,15
0x45f985,98.8304%,2,169,171,146,1,1,23
0x5ea6cf,81.8182%,2,9,11,9,2,0,0
0x45fa18,95%,2,38,40,22,2,0,16
0x7b1bb3,99.9797%,2,9850,9852,9850,2,0,0
0x48c94f,33.3333%,2,1,3,1,2,0,0
0x4e8314,33.3333%,2,1,3,1,1,1,0
0x6180c1,87.5%,2,14,16,14,2,0,0
0x49c479,99.9828%,2,11620,11622,0,0,2,11620
0x5ea1b3,99.8925%,2,1859,1861,1672,1,1,187
0x4ea408,0%,2,0,2,0,2,0,0
0x4a8079,97.9167%,2,94,96,79,1,1,15
0x54ce50,83.3333%,2,10,12,0,0,2,10
0x638e22,99.9897%,2,19404,19406,0,0,2,19404
