Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.6635%,84074,24899068,24983142,15437295,35280,48794,9461773
0x411cdb,98.6812%,13420,1004158,1017578,924623,5351,8069,79535
0x411480,98.8235%,11377,955668,967045,837647,4380,6997,118021
0x41104e,98.3048%,10662,618300,628962,510643,3851,6811,107657
0x4120ef,98.7531%,9452,748597,758049,702955,3492,5960,45642
0x412d38,99.2305%,5833,752216,758049,667783,2662,3171,84433
0x412633,98.6236%,4882,349810,354692,64360,2779,2103,285450
0x412fb0,98.8357%,4338,368254,372592,245450,2124,2214,122804
0x41321e,99.431%,3579,625384,628963,557708,1370,2209,67676
0x410794,99.1255%,3261,369635,372896,306008,1593,1668,63627
0x4118ce,99.1449%,3186,369406,372592,254025,1341,1845,115381
0x4123df,95.5719%,2285,49317,51602,28886,1068,1217,20431
0x410c08,98.9454%,2175,204072,206247,135427,935,1240,68645
0x412e6e,99.8017%,2018,1015560,1017578,899438,914,1104,116122
0x4130f0,99.8025%,1910,965136,967046,851785,792,1118,113351
0x410341,99.3579%,1217,188308,189525,42470,586,631,145838
0x413360,99.4948%,1042,205205,206247,140457,495,547,64748
0x4134a1,99.7329%,996,371900,372896,329393,447,549,42507
0x4135e8,99.8306%,321,189204,189525,167943,129,192,21261
0x412660,99.9337%,56,84393,84449,79220,32,24,5173
0x412024,99.9441%,49,87555,87604,27987,15,34,59568
0x411dc7,99.9441%,49,87555,87604,27983,19,30,59572
0x41212f,99.8976%,48,46835,46883,46163,19,29,672
0x411c44,99.9599%,47,117179,117226,34539,13,34,82640
0x41108f,99.9589%,47,114421,114468,11612,25,22,102809
0x4108ba,99.9341%,43,65252,65295,15850,27,16,49402
0x411b94,99.9594%,42,103457,103499,103169,22,20,288
0x412629,99.9559%,41,92909,92950,17290,20,21,75619
0x41223d,99.9225%,40,51562,51602,18679,17,23,32883
0x4114dd,99.9685%,35,111130,111165,110868,13,22,262
0x4110ab,99.9669%,34,102797,102831,102586,16,18,211
0x4114c1,99.9736%,33,124985,125018,13842,11,22,111143
0x411d18,99.9614%,32,82956,82988,82394,12,20,562
0x410fb4,99.9571%,30,69855,69885,18706,19,11,51149
0x411cfc,99.9658%,30,87574,87604,4600,16,14,82974
0x410473,99.9303%,30,43026,43056,14541,14,16,28485
0x411a06,99.9248%,26,34526,34552,3716,14,12,30810
0x412d46,99.9071%,26,27976,28002,3926,9,17,24050
0x411740,99.9792%,26,124992,125018,13845,8,18,111147
0x41175c,99.9775%,25,111140,111165,110864,17,8,276
0x41115f,99.9782%,25,114443,114468,27801,7,18,86642
0x4119ca,99.9795%,24,117202,117226,34539,13,11,82663
0x41295a,99.9199%,24,29930,29954,16127,11,13,13803
0x41158a,99.9816%,23,124995,125018,42274,15,8,82721
0x411196,99.9173%,23,27785,27808,7881,15,8,19904
0x412645,99.9927%,21,287532,287553,8499,2,19,279033
0x411814,99.9832%,21,124998,125019,42282,8,13,82716
0x411aed,99.9892%,20,184912,184932,92458,8,12,92454
0x410a85,99.9694%,20,65275,65295,4496,7,13,60779
0x41155e,99.9943%,19,333192,333211,222034,12,7,111158
0x410ef9,99.9673%,19,58099,58118,58007,9,10,92
0x411c1e,99.9939%,19,310170,310189,206679,11,8,103491
0x4107ed,99.9709%,19,65276,65295,4497,6,13,60779
0x412276,99.8984%,19,18677,18696,4660,12,7,14017
0x411923,99.9816%,19,103480,103499,103179,12,7,301
0x412fbe,99.9574%,18,42272,42290,7887,10,8,34385
0x411f7a,99.9783%,18,82970,82988,82394,12,6,576
0x410d1a,99.9742%,18,69866,69884,18717,7,11,51149
0x410b54,99.9724%,18,65277,65295,15868,9,9,49409
0x410c59,99.9742%,18,69867,69885,11756,11,7,58111
0x411eee,99.9765%,17,72184,72201,48126,8,9,24058
0x41298f,99.8947%,17,16121,16138,3907,9,8,12214
0x411edd,99.9889%,16,144386,144402,72193,8,8,72193
0x41124a,99.9732%,16,59720,59736,0,0,16,59720
0x4124bf,99.9499%,15,29939,29954,16128,10,5,13811
0x4117ee,99.9955%,15,333199,333214,222040,8,7,111159
0x411907,99.9872%,15,117211,117226,13718,9,6,103493
0x4103a8,99.9675%,14,43042,43056,5922,3,11,37120
0x41112e,99.9955%,14,308250,308264,205429,4,10,102821
0x41306c,99.9864%,14,103165,103179,0,0,14,103165
0x411325,99.9874%,13,102819,102832,102597,6,7,222
0x41322c,99.9306%,13,18712,18725,5991,8,5,12721
0x4115c6,99.9693%,13,42276,42289,7893,3,10,34383
0x4132fd,99.9843%,12,76344,76356,38171,7,5,38173
0x411b29,99.9898%,12,117214,117226,117214,12,0,0
0x41137f,99.9883%,12,102820,102832,0,0,12,102820
0x411680,99.9884%,12,103167,103179,0,0,12,103167
0x412ca6,99.9715%,12,42060,42072,0,0,12,42060
0x411309,99.9895%,12,114457,114469,11635,2,10,102822
0x41199e,99.9961%,12,310177,310189,206681,9,3,103496
0x412903,99.9575%,12,28200,28212,0,0,12,28200
0x41241f,99.961%,11,28201,28212,27639,8,3,562
0x410e3d,99.9856%,11,76345,76356,38171,7,4,38174
0x411b78,99.9906%,11,117215,117226,13721,6,5,103494
0x4131cd,99.9908%,11,119461,119472,59730,6,5,59731
0x410cee,99.9937%,11,174239,174250,116124,9,2,58115
0x41308d,99.9947%,11,206347,206358,103169,10,1,103178
0x410edd,99.9843%,11,69874,69885,11762,5,6,58112
0x41260c,99.9666%,10,29944,29954,16249,7,3,13695
0x412e7c,99.9711%,10,34542,34552,3728,2,8,30814
0x410b02,99.9836%,10,60782,60792,0,0,10,60782
0x4103c4,99.9731%,10,37121,37131,37036,5,5,85
0x411b02,99.9892%,10,92456,92466,61638,6,4,30818
0x4125dd,99.9864%,10,73322,73332,36662,4,6,36660
0x41043e,99.991%,10,111293,111303,74167,5,5,37126
0x412113,99.9826%,9,51593,51602,4715,4,5,46878
0x41126d,99.9925%,9,119463,119472,59734,2,7,59729
0x412a4e,99.9877%,9,73323,73332,36663,3,6,36660
0x411ac0,99.9913%,8,92458,92466,0,0,8,92458
0x4105c3,99.9814%,8,43048,43056,43048,8,0,0
0x4116c2,99.9922%,8,103171,103179,68782,4,4,34389
0x41153a,99.9928%,8,111157,111165,0,0,8,111157
0x412832,99.9733%,8,29946,29954,8497,4,4,21449
0x411eba,99.9889%,8,72193,72201,0,0,8,72193
0x4121ae,99.9943%,8,139940,139948,93057,8,0,46883
0x4131ac,99.9866%,8,59728,59736,0,0,8,59728
0x410e76,99.9886%,8,69876,69884,69876,8,0,0
0x410809,99.9868%,8,60784,60792,60684,6,2,100
0x412c00,99.9572%,8,18688,18696,4671,1,7,14017
0x41309e,99.9932%,7,103172,103179,68782,4,3,34390
0x413011,99.9932%,7,103172,103179,103172,7,0,0
0x410a16,99.9893%,7,65288,65295,65288,7,0,0
0x41127e,99.9883%,7,59729,59736,39821,3,4,19908
0x411d8e,99.9972%,7,248375,248382,165388,6,1,82987
0x411d6a,99.9916%,7,82981,82988,0,0,7,82981
0x41218a,99.9851%,7,46876,46883,0,0,7,46876
0x4117bf,99.9937%,7,111158,111165,0,0,7,111158
0x412f4d,99.9962%,7,184925,184932,92462,4,3,92463
0x41088e,99.9962%,7,182267,182274,121475,7,0,60792
0x412a5f,99.9809%,7,36659,36666,24441,3,4,12218
0x410b2e,99.9962%,7,182267,182274,121480,2,5,60787
0x412b1c,99.9851%,7,46876,46883,46176,6,1,700
0x411f5e,99.992%,7,87597,87604,4615,1,6,82982
0x41139e,99.9977%,7,308260,308267,205432,3,4,102828
0x410f8e,99.996%,7,174245,174252,116130,4,3,58115
0x412bcc,99.9884%,6,51596,51602,18694,2,4,32902
0x41292e,99.9929%,6,84065,84071,55854,5,1,28211
0x41343d,99.9768%,6,25890,25896,12944,4,2,12946
0x41249e,99.9929%,6,84065,84071,55856,3,3,28209
0x411e06,99.9786%,6,27996,28002,3934,1,5,24062
0x411f12,99.9932%,6,87598,87604,87598,6,0,0
0x410cca,99.9897%,6,58112,58118,0,0,6,58112
0x412e1d,99.9958%,6,144396,144402,72198,3,3,72198
0x410dc1,99.9843%,6,38172,38178,38172,6,0,0
0x412b00,99.9903%,5,51597,51602,4719,0,5,46878
0x4113c4,99.9956%,5,114464,114469,27809,0,5,86655
0x412bae,99.9964%,5,139943,139948,93062,3,2,46881
0x411ffe,99.998%,5,248377,248382,165390,4,1,82987
0x412da1,99.9931%,5,72196,72201,72196,5,0,0
0x412f5e,99.9946%,5,92461,92466,61639,5,0,30822
0x41267d,99.9833%,5,29949,29954,29949,5,0,0
0x4116ad,99.9976%,5,206353,206358,103177,2,3,103176
0x412372,99.9881%,5,42067,42072,28045,3,2,14022
0x412e2e,99.9931%,5,72196,72201,48131,3,2,24065
0x4116e9,99.996%,5,125013,125018,125013,5,0,0
0x4106ce,99.9955%,5,111298,111303,74172,0,5,37126
0x4111e1,99.9916%,5,59731,59736,59731,5,0,0
0x410e10,99.9869%,5,38173,38178,0,0,5,38173
0x412df6,99.9931%,5,72196,72201,0,0,5,72196
0x41247a,99.9823%,5,28207,28212,0,0,5,28207
0x4108f6,99.9748%,4,15873,15877,11559,2,2,4314
0x413511,99.9712%,4,13877,13881,13877,4,0,0
0x4130fe,99.9856%,4,27805,27809,7895,2,2,19910
0x41235d,99.9952%,4,84140,84144,42070,2,2,42070
0x4134b7,99.9725%,4,14551,14555,9926,2,2,4625
0x412b7d,99.9915%,4,46879,46883,0,0,4,46879
0x410629,99.9907%,4,43052,43056,5922,3,1,37130
0x410c75,99.9948%,3,58115,58118,58013,3,0,102
0x4132d8,99.9921%,3,38175,38178,0,0,3,38175
0x41344e,99.9768%,3,12945,12948,8631,1,2,4314
0x4109f2,99.9768%,3,12945,12948,8631,1,2,4314
0x411fdd,99.9964%,3,82985,82988,0,0,3,82985
0x411a71,99.9968%,3,92463,92466,92463,3,0,0
0x411bef,99.9971%,3,103496,103499,0,0,3,103496
0x41086a,99.9951%,3,60789,60792,0,0,3,60789
0x412403,99.99%,3,29951,29954,1741,1,2,28210
0x410d56,99.984%,3,18721,18724,5996,2,1,12725
0x4128a0,99.9894%,3,28209,28212,27647,0,3,562
0x41336e,99.9811%,3,15874,15877,11559,2,1,4315
0x4131de,99.995%,3,59733,59736,39823,1,2,19910
0x4129d1,99.9918%,3,36663,36666,36663,3,0,0
0x412a20,99.9945%,2,36664,36666,0,0,2,36664
0x412ccd,99.9976%,2,84142,84144,42070,2,0,42072
0x411e51,99.9972%,2,72199,72201,72199,2,0,0
0x41110a,99.9981%,2,102829,102831,0,0,2,102829
0x4104b6,99.9863%,2,14553,14555,9928,0,2,4625
0x4125f2,99.9945%,2,36664,36666,24442,2,0,12222
0x412ed1,99.9978%,2,92464,92466,92464,2,0,0
0x410aa1,99.9967%,2,60790,60792,60689,1,1,101
0x4109b0,99.9846%,2,12946,12948,0,0,2,12946
0x4117ab,99.2958%,2,282,284,0,0,2,282
0x40ff91,99.9907%,2,21451,21453,0,0,2,21451
0x4106ec,99.9954%,2,43054,43056,14553,2,0,28501
0x412884,99.9933%,2,29952,29954,1741,1,1,28211
0x410e52,99.9948%,2,38176,38178,25452,0,2,12724
0x41041a,99.9946%,2,37129,37131,0,0,2,37129
0x41197a,99.9981%,2,103497,103499,0,0,2,103497
0x41069d,99.9946%,2,37129,37131,0,0,2,37129
0x4133c1,99.9846%,2,12946,12948,12946,2,0,0
0x4128ef,99.823%,1,564,565,0,0,1,564
0x41058d,99.9964%,1,27761,27762,13881,0,1,13880
0x410504,99.9928%,1,13880,13881,13880,1,0,0
0x413566,99.9928%,1,13880,13881,0,0,1,13880
0x412f2c,99.9989%,1,92465,92466,0,0,1,92465
0x41330e,99.9974%,1,38177,38178,25452,0,1,12725
0x410645,99.9973%,1,37130,37131,37041,0,1,89
0x410f62,99.9983%,1,58117,58118,0,0,1,58117
0x410f4b,99.0196%,1,101,102,0,0,1,101
0x412561,99.9973%,1,36665,36666,36665,1,0,0
0x4122e1,99.9976%,1,42071,42072,42071,1,0,0
0x412cde,99.9976%,1,42071,42072,28047,1,0,14024
0x412330,99.9976%,1,42071,42072,0,0,1,42071
0x413281,99.9974%,1,38177,38178,38177,1,0,0
0x411526,99.6479%,1,283,284,0,0,1,283
0x41056d,99.9928%,1,13880,13881,0,0,1,13880
0x4112a5,99.9991%,1,114467,114468,114467,1,0,0
0x41358d,99.9964%,1,27761,27762,13881,0,1,13880
0x411d56,99.8282%,1,581,582,0,0,1,581
0x411631,99.999%,1,103178,103179,103178,1,0,0
0x41059e,99.9928%,1,13880,13881,9253,1,0,4627
0x412ac8,99.9981%,1,51601,51602,0,0,1,51601
0x4125b0,99.9973%,1,36665,36666,0,0,1,36665
0x413151,99.9983%,1,59735,59736,59735,1,0,0
0x410856,100%,0,102,102,0,0,0,102
0x412176,100%,0,701,701,0,0,0,701
0x412466,100%,0,565,565,0,0,0,565
0x4110f6,100%,0,229,229,0,0,0,229
0x410406,100%,0,90,90,0,0,0,90
0x410689,100%,0,90,90,0,0,0,90
0x411966,100%,0,308,308,0,0,0,308
0x410aeb,100%,0,102,102,0,0,0,102
0x410961,100%,0,12948,12948,12948,0,0,0
0x41136b,100%,0,229,229,0,0,0,229
0x411bdb,100%,0,308,308,0,0,0,308
0x411fc9,100%,0,582,582,0,0,0,582
0x412b69,100%,0,701,701,0,0,0,701
0x41359e,100%,0,13881,13881,9254,0,0,4627
0x412c51,100%,0,42072,42072,42072,0,0,0
0x410cb6,100%,0,102,102,0,0,0,102
0x412853,100%,0,21453,21453,0,0,0,21453
0x4124f6,100%,0,16138,16138,3916,0,0,12222
0x4109dd,100%,0,25896,25896,12948,0,0,12948
0x413418,100%,0,12948,12948,0,0,0,12948
