Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.9153%,17586,20751755,20769341,3455642,9091,8495,17296113
0x4af210,99.192%,8233,1010648,1018881,82330,4350,3883,928318
0x41dc41,99.0089%,3366,336261,339627,270715,1694,1672,65546
0x41dbf1,99.3711%,2136,337491,339627,258710,1394,742,78781
0x41dc23,99.5233%,1619,338008,339627,257228,499,1120,80780
0x41dd33,99.7379%,887,337562,338449,12895,460,427,324667
0x41ebcb,99.7834%,732,337235,337967,4603,378,354,332632
0x41dd10,99.9444%,189,339438,339627,1072,106,83,338366
0x41e429,99.9491%,173,339454,339627,839,87,86,338615
0x41e927,99.9635%,124,339503,339627,337886,81,43,1617
0x41e440,99.9879%,41,338660,338701,1435,30,11,337225
0x41eca4,99.9906%,32,339595,339627,339595,1,31,0
0x5ae396,99.9994%,6,932195,932201,0,0,6,932195
0x5ae437,99.9995%,5,932197,932202,0,0,5,932197
0x41ebf5,99.9985%,5,338443,338448,13354,3,2,325089
0x41ebe6,99.9985%,5,339622,339627,1177,2,3,338445
0x5dfd73,99.9996%,4,932198,932202,0,0,4,932198
0x5dfd87,99.9996%,4,932198,932202,0,0,4,932198
0x41ec2f,99.9988%,4,338696,338700,1464,1,3,337232
0x5dfd52,99.9996%,4,932198,932202,0,0,4,932198
0x41ec20,99.9991%,3,339624,339627,925,2,1,338699
0x5ae482,99.9997%,3,932199,932202,0,0,3,932199
0x5dfd5f,99.9998%,2,932200,932202,0,0,2,932200
0x5ae478,99.9998%,2,932200,932202,0,0,2,932200
0x5dfd6b,99.9998%,2,932200,932202,0,0,2,932200
0x5dfd82,99.9998%,2,932200,932202,0,0,2,932200
0x5ae447,99.9999%,1,932201,932202,932201,1,0,0
0x41ec6f,99.9997%,1,337966,337967,4980,1,0,332986
0x5ae484,99.9999%,1,932201,932202,932201,1,0,0
0x5ae3b8,100%,0,932202,932202,0,0,0,932202
0x4127a4,100%,0,31,31,0,0,0,31
0x41db57,100%,0,339627,339627,0,0,0,339627
0x5ae441,100%,0,932202,932202,0,0,0,932202
0x4120da,100%,0,31,31,0,0,0,31
0x41065d,100%,0,31,31,0,0,0,31
0x412c01,100%,0,31,31,31,0,0,0
0x4127af,100%,0,31,31,0,0,0,31
0x40e29a,100%,0,31,31,0,0,0,31
0x410666,100%,0,31,31,0,0,0,31
0x41ec60,100%,0,339627,339627,1660,0,0,337967
0x412057,100%,0,31,31,31,0,0,0
0x41dab9,100%,0,31,31,0,0,0,31
0x4127bd,100%,0,31,31,31,0,0,0
0x410645,100%,0,31,31,0,0,0,31
0x41228c,100%,0,31,31,0,0,0,31
0x410677,100%,0,31,31,0,0,0,31
0x40e2a3,100%,0,31,31,0,0,0,31
0x40e2b8,100%,0,31,31,0,0,0,31
0x40e2c7,100%,0,31,31,0,0,0,31
0x40e2e7,100%,0,31,31,0,0,0,31
0x40e310,100%,0,31,31,0,0,0,31
0x410619,100%,0,31,31,0,0,0,31
0x412282,100%,0,31,31,0,0,0,31
0x4108bd,100%,0,31,31,0,0,0,31
0x410649,100%,0,31,31,0,0,0,31
0x410685,100%,0,31,31,0,0,0,31
0x41068b,100%,0,31,31,31,0,0,0
0x4108a5,100%,0,31,31,31,0,0,0
0x40e1ee,100%,0,31,31,0,0,0,31
0x40e1f6,100%,0,31,31,31,0,0,0
0x4120e0,100%,0,31,31,31,0,0,0
0x412278,100%,0,31,31,0,0,0,31
0x40e28d,100%,0,31,31,0,0,0,31
0x41226e,100%,0,31,31,0,0,0,31
0x41dae6,100%,0,31,31,0,0,0,31
0x412082,100%,0,31,31,31,0,0,0
0x40e280,100%,0,31,31,0,0,0,31
0x412261,100%,0,31,31,0,0,0,31
0x41ecd1,100%,0,31,31,31,0,0,0
0x412040,100%,0,31,31,31,0,0,0
0x4133bc,100%,0,31,31,31,0,0,0
0x412255,100%,0,31,31,0,0,0,31
0x4120ae,100%,0,31,31,31,0,0,0
0x41daf1,100%,0,31,31,0,0,0,31
0x40e2af,100%,0,31,31,0,0,0,31
0x5ae3ae,100%,0,932202,932202,0,0,0,932202
