Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,97.9643%,425659,20484078,20909737,12258411,224145,201514,8225667
0x405017,89.2567%,222397,1847710,2070107,1653540,108949,113448,194170
0x45045e,49.9399%,153727,153358,307085,73117,80056,73671,80241
0x4050d5,99.1541%,14909,1747579,1762488,15817,10039,4870,1731762
0x44fea9,96.9392%,10207,323267,333474,1,10207,0,323266
0x44feeb,97.3189%,8667,314599,323266,301763,5403,3264,12836
0x44ffdf,50.5655%,7999,8182,16181,3871,4162,3837,4311
0x405139,83.7562%,4200,21656,25856,2656,3138,1062,19000
0x404ffd,99.9463%,1113,2070107,2071220,0,1113,0,2070107
0x4052c9,99.9563%,906,2070387,2071293,2070387,1,905,0
0x450375,99.8644%,438,322651,323089,297459,343,95,25192
0x4503d0,99.8995%,325,322941,323266,0,320,5,322941
0x45009c,49.6875%,161,159,320,57,95,66,102
0x45014f,50.9375%,157,163,320,76,87,70,87
0x4500f3,57.1875%,137,183,320,26,104,33,157
0x44ffe9,99.97%,97,323169,323266,323088,1,96,81
0x44ffd0,99.9743%,83,323183,323266,307084,1,82,16099
0x404f66,99.9964%,74,2071219,2071293,0,74,0,2071219
0x450deb,99.5592%,45,10163,10208,0,44,1,10163
0x45038f,99.9725%,7,25457,25464,16095,5,2,9362
0x44fe6e,99.9994%,2,333472,333474,0,0,2,333472
0x450635,99.9902%,1,10207,10208,0,0,1,10207
0x450012,99.9997%,1,297801,297802,297801,1,0,0
0x4052d6,99.8895%,1,904,905,0,0,1,904
0x450204,99.6875%,1,319,320,162,1,0,157
0x450ad7,97.7273%,1,43,44,0,0,1,43
0x4052ff,99.8895%,1,904,905,904,1,0,0
0x4354d8,99.9997%,1,333473,333474,0,0,1,333473
0x45001d,99.9938%,1,16099,16100,0,0,1,16099
0x4503a6,100%,0,307166,307166,9364,0,0,297802
0x450ce4,100%,0,44,44,0,0,0,44
0x404e45,100%,0,905,905,0,0,0,905
0x404def,100%,0,905,905,905,0,0,0
0x404f77,100%,0,2071219,2071219,2071219,0,0,0
0x4500a6,100%,0,320,320,0,0,0,320
0x450063,100%,0,323266,323266,323266,0,0,0
0x405180,100%,0,5794,5794,0,0,0,5794
0x450159,100%,0,320,320,0,0,0,320
0x4053bf,100%,0,905,905,905,0,0,0
0x4509bb,100%,0,44,44,0,0,0,44
0x45008d,100%,0,320,320,0,0,0,320
0x4500e5,100%,0,320,320,320,0,0,0
0x450cda,100%,0,44,44,0,0,0,44
0x450bf3,100%,0,44,44,0,0,0,44
0x450b65,100%,0,44,44,0,0,0,44
0x450a49,100%,0,44,44,0,0,0,44
0x45092d,100%,0,44,44,0,0,0,44
0x450811,100%,0,44,44,0,0,0,44
0x450783,100%,0,44,44,0,0,0,44
0x4501d6,100%,0,320,320,320,0,0,0
0x4501cb,100%,0,320,320,163,0,0,157
0x4501bd,100%,0,320,320,320,0,0,0
0x450004,100%,0,177,177,177,0,0,0
0x450140,100%,0,320,320,320,0,0,0
0x45020e,100%,0,320,320,320,0,0,0
0x44fe7a,100%,0,333474,333474,0,0,0,333474
0x450c97,100%,0,44,44,0,0,0,44
0x45025f,100%,0,320,320,320,0,0,0
0x4500fd,100%,0,320,320,0,0,0,320
0x44fe9b,100%,0,333474,333474,333474,0,0,0
0x45089f,100%,0,44,44,0,0,0,44
0x45049c,100%,0,320,320,0,0,0,320
0x404f3e,100%,0,2071293,2071293,2071293,0,0,0
0x4506cd,100%,0,10208,10208,10208,0,0,0
0x45021c,100%,0,320,320,320,0,0,0
0x404e98,100%,0,2071293,2071293,2071293,0,0,0
